股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.8494
600006,东风汽车,C,1.4022
600007,中国国贸,L,0.6017
600009,上海机场,G,1.0397
600010,包钢股份,C,1.8049
600017,日照港,G,1.0568
600018,上港集团,G,1.0249
600019,宝钢股份,C,1.1514
600020,中原高速,G,0.8099
600021,上海电力,D,0.8882
600031,三一重工,C,2.2615
600033,福建高速,G,0.4346
600035,楚天高速,G,0.9408
600037,歌华有线,I,0.2616
600038,中直股份,C,1.0565
600048,保利地产,K,1.7989
600050,中国联通,I,0.4152
600051,宁波联合,S,1.1455
600052,浙江广厦,K,1.5363
600053,九鼎投资,K,0.9178
600055,万东医疗,C,-0.3257
600056,中国医药,F,0.9565
600058,五矿发展,F,1.9013
600059,古越龙山,C,0.3576
600060,海信电器,C,0.9194
600062,华润双鹤,C,-0.2282
600063,皖维高新,C,1.4773
600064,南京高科,K,1.2622
600066,宇通客车,C,1.1168
600067,冠城大通,C,2.0837
600069,银鸽投资,C,0.8315
600070,浙江富润,C,0.6144
600071,凤凰光学,C,0.6058
600072,中船科技,C,1.0915
600073,上海梅林,C,1.1261
600074,保千里,C,0.8785
600075,新疆天业,A,0.752
600076,康欣新材,C,1.0685
600077,宋都股份,C,1.0093
600078,澄星股份,C,1.0302
600079,人福医药,S,-0.2039
600080,金花股份,C,0.6536
600081,东风科技,C,1.229
600082,海泰发展,K,1.4651
600083,博信股份,C,1.1285
600084,中葡股份,F,0.9945
600085,同仁堂,C,0.1082
600087,退市长油,G,1.181
600088,中视传媒,R,0.5629
600089,特变电工,C,1.1548
600090,同济堂,C,0.5737
600091,ST明科,C,1.7014
600093,易见股份,A,1.1718
600095,哈高科,C,2.5666
600096,云天化,C,1.3687
600097,开创国际,A,1.2131
600098,广州发展,D,0.658
600099,林海股份,C,1.4283
600100,同方股份,I,0.3883
600103,青山纸业,C,0.9211
600105,永鼎股份,C,0.7309
600107,美尔雅,C,1.4544
600108,亚盛集团,A,0.6185
600110,诺德股份,C,0.7508
600111,北方稀土,C,1.1767
600112,*ST天成,C,0.9711
600113,浙江东日,C,1.0785
600114,东睦股份,C,0.9792
600116,三峡水利,D,0.7212
600117,西宁特钢,C,2.3488
600118,中国卫星,C,0.9446
600119,长江投资,S,1.1226
600120,浙江东方,F,0.5005
600121,*ST郑煤,D,1.4547
600122,宏图高科,C,0.9185
600123,兰花科创,B,1.7456
600125,铁龙物流,G,-0.1431
600126,杭钢股份,C,1.0071
600127,金健米业,C,1.013
600128,弘业股份,F,1.6355
600129,太极集团,C,1.0233
600130,波导股份,C,0.2611
600131,岷江水电,D,1.1805
600132,重庆啤酒,C,0.3894
600135,乐凯胶片,C,1.1099
600136,当代明诚,S,1.4546
600137,浪莎股份,C,1.2457
600138,中青旅,L,0.3584
600139,西部资源,B,0.9281
600141,兴发集团,C,1.3437
600143,金发科技,C,1.3629
600146,商赢环球,C,1.3204
600148,长春一东,C,1.1441
600149,*ST坊展,C,0.2157
600150,中国船舶,C,0.843
600151,航天机电,C,1.6751
600152,维科精华,C,0.9921
600153,建发股份,F,1.3381
600156,华升股份,C,0.8372
600158,中体产业,O,0.9716
600159,大龙地产,C,1.3183
600160,巨化股份,C,1.3123
600161,天坛生物,C,0.3635
600162,香江控股,K,1.4548
600163,中闽能源,C,0.8099
600166,福田汽车,C,1.4343
600167,联美控股,K,1.0413
600168,武汉控股,D,1.4372
600169,太原重工,C,1.2304
600171,上海贝岭,C,1.0304
600172,黄河旋风,C,1.6192
600173,卧龙地产,K,0.3574
600175,美都能源,K,2.3294
600176,中国巨石,C,1.0242
600177,雅戈尔,C,1.2126
600178,东安动力,C,1.6328
600179,安通控股,C,1.4096
600180,瑞茂通,A,1.2005
600182,S佳通,C,0.6483
600183,生益科技,C,0.8879
600184,光电股份,C,1.2642
600185,格力地产,G,1.2203
600186,莲花健康,C,1.3482
600187,国中水务,D,0.3052
600189,吉林森工,A,0.8136
600191,华资实业,C,1.5014
600192,长城电工,C,0.7484
600193,创兴资源,S,1.1868
600195,中牧股份,C,-0.3384
600197,伊力特,C,0.0132
600198,大唐电信,C,0.9003
600199,金种子酒,C,0.5221
600200,江苏吴中,C,0.2901
600201,生物股份,C,0.4588
600202,哈空调,C,1.1139
600203,福日电子,C,0.9484
600206,有研新材,C,1.1623
600207,安彩高科,C,0.8766
600208,新湖中宝,K,1.7033
600209,罗顿发展,S,-0.0157
600210,紫江企业,C,0.966
600211,西藏药业,C,0.6564
600212,江泉实业,D,0.9871
600213,亚星客车,C,0.5687
600215,长春经开,K,1.2134
600216,浙江医药,C,1.1456
600217,中再资环,C,0.6573
600219,南山铝业,C,1.5888
600220,江苏阳光,C,1.1233
600222,太龙药业,C,0.7817
600223,鲁商置业,K,2.0151
600225,*ST松江,K,1.5354
600227,赤天化,C,1.5102
600228,*ST昌九,C,1.3052
600229,城市传媒,C,1.3573
600230,沧州大化,C,1.3369
600231,凌钢股份,C,2.2538
600232,金鹰股份,C,0.8414
600233,圆通速递,C,1.0175
600234,ST山水,F,0.8207
600235,民丰特纸,C,1.128
600236,桂冠电力,N,0.8182
600237,铜峰电子,C,0.6499
600238,海南椰岛,C,0.2463
600239,云南城投,K,1.42
600240,华业资本,K,1.7223
600241,时代万恒,C,1.1878
600242,中昌数据,A,0.5795
600243,青海华鼎,C,1.1699
600246,万通地产,K,1.2669
600247,ST成城,F,1.1798
600248,延长化建,A,0.8109
600249,两面针,C,1.2366
600250,南纺股份,F,0.9259
600251,冠农股份,A,1.7299
600252,中恒集团,S,0.1171
600253,天方药业,C,0.5843
600255,鑫科材料,C,1.4815
600256,广汇能源,K,0.0125
600257,大湖股份,A,0.4247
600258,首旅酒店,H,0.6451
600259,广晟有色,B,1.5808
600260,凯乐科技,C,0.7927
