股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600312,平高电气,C,-0.1205
600315,上海家化,C,0.9053
600316,洪都航空,C,2.8
600317,营口港,G,1.608
600321,国栋建设,C,0.7994
600322,天房发展,K,1.0075
600323,瀚蓝环境,D,0.4949
600325,华发股份,K,0.4349
600327,大东方,F,3.0323
600328,兰太实业,C,0.1458
600329,中新药业,C,1.0095
600330,天通股份,C,-0.1808
600331,宏达股份,C,1.6722
600333,长春燃气,C,1.1101
600335,国机汽车,F,0.9041
600336,澳柯玛,C,0.2228
600337,美克家居,C,0.5801
600338,西藏珠峰,C,0.6097
600339,中油工程,C,1.6752
600340,华夏幸福,K,-0.8459
600343,航天动力,C,3.137
600345,长江通信,C,1.6432
600348,阳泉煤业,B,2.3632
600350,山东高速,G,0.8627
600351,亚宝药业,C,-0.4405
600352,浙江龙盛,C,1.9654
600353,旭光股份,C,2.8543
600354,敦煌种业,A,1.8489
600355,精伦电子,C,2.7713
600356,恒丰纸业,C,1.1953
600358,国旅联合,L,0.2958
600359,新农开发,A,2.992
600360,华微电子,C,0.858
600361,华联综超,F,1.8017
600365,通葡股份,C,0.8484
600366,宁波韵升,C,1.418
600367,红星发展,C,1.6614
600368,五洲交通,G,2.2837
600370,三房巷,C,1.0511
600371,万向德农,A,1.8664
600372,中航电子,C,1.7061
600373,中文传媒,R,0.1345
600375,华菱星马,C,-0.0499
600376,首开股份,K,0.1533
600382,广东明珠,F,0.3938
600383,金地集团,K,-0.5121
600386,北巴传媒,F,1.8379
600387,海越股份,F,1.4074
600388,龙净环保,C,0.9195
600389,江山股份,C,0.523
600390,五矿资本,C,1.4647
600392,盛和资源,C,2.4308
600393,粤泰股份,K,1.7248
600395,盘江股份,B,1.6256
600397,安源煤业,B,2.0792
600398,海澜之家,C,2.3786
600399,抚顺特钢,C,2.6082
600400,红豆股份,C,3.012
600401,*ST海润,C,0.4276
600403,*ST大有,B,1.806
600405,动力源,C,1.4819
600406,国电南瑞,I,1.4365
600408,安泰集团,C,1.8014
600409,三友化工,C,0.8338
600410,华胜天成,I,1.9226
600415,小商品城,L,1.5686
600416,湘电股份,C,2.6839
600419,天润乳业,C,2.1904
600420,现代制药,C,0.873
600422,昆药集团,C,1.1372
600423,*ST柳化,C,1.1356
600425,*ST青松,C,1.5649
600426,华鲁恒升,C,1.1271
600428,中远海特,G,2.8454
600429,三元股份,C,2.8908
600432,*ST吉恩,C,-0.1011
600433,冠豪高新,C,0.5951
600435,北方导航,C,2.1621
600436,片仔癀,C,1.3105
600438,通威股份,C,-0.0245
600439,瑞贝卡,C,1.4499
600444,国机通用,C,1.9588
600446,金证股份,I,-2.2414
600448,华纺股份,C,0.4301
600449,宁夏建材,C,1.0315
600452,涪陵电力,D,0.0314
600456,宝钛股份,C,2.0005
600458,时代新材,C,2.0041
600459,贵研铂业,C,1.0517
600460,士兰微,C,1.1439
600461,洪城水业,D,0.9522
600462,九有股份,C,1.9116
600466,蓝光发展,C,2.2389
600467,好当家,A,2.1097
600468,百利电气,C,1.9386
600469,风神股份,C,1.0927
600470,六国化工,C,0.8537
600475,华光股份,C,1.7219
600476,湘邮科技,I,0.6077
600478,科力远,C,1.5803
600479,千金药业,C,1.6207
600480,凌云股份,C,0.9882
600481,双良节能,C,1.0532
600482,中国动力,C,2.9268
600483,福能股份,C,1.3658
600486,扬农化工,C,0.2687
600487,亨通光电,C,1.2605
600488,天药股份,C,1.0763
600489,中金黄金,B,1.3977
600493,凤竹纺织,C,0.6887
600495,晋西车轴,C,1.0216
600499,科达洁能,C,0.3461
600500,中化国际,C,0.3598
600501,航天晨光,C,2.1246
600503,华丽家族,K,1.2444
600505,西昌电力,D,1.2047
600506,香梨股份,A,1.34
600508,上海能源,B,2.2804
600509,天富能源,D,0.5903
600510,黑牡丹,K,1.3378
600511,国药股份,F,0.3523
600513,联环药业,C,0.7091
600515,海航基础,F,3.3692
600518,康美药业,C,0.1565
600519,贵州茅台,C,-0.1812
600520,中发科技,C,1.005
600521,华海药业,C,1.3065
600522,中天科技,C,0.9366
600523,贵航股份,C,2.8723
600525,长园集团,C,0.0562
600526,菲达环保,C,1.9577
600527,江南高纤,C,1.6401
600529,山东药玻,C,0.2476
600530,交大昂立,C,2.15
600531,豫光金铅,C,1.5126
600532,宏达矿业,B,1.5674
600533,栖霞建设,K,0.6595
600535,天士力,C,0.3819
600536,中国软件,I,3.129
600537,亿晶光电,C,2.2677
600538,国发股份,C,-0.0154
600539,狮头股份,C,1.4806
600540,*ST新赛,A,1.8467
600543,莫高股份,C,0.922
600546,山煤国际,F,2.3899
600549,厦门钨业,C,1.4167
600550,保变电气,C,2.9101
600551,时代出版,R,0.5912
600557,康缘药业,C,0.1562
600558,大西洋,C,0.9912
600559,老白干酒,C,-0.009
600560,金自天正,C,-0.0887
600561,江西长运,G,1.0999
600562,国睿科技,C,1.8339
600563,法拉电子,C,-0.5213
600565,迪马股份,K,1.3837
600566,济川药业,C,2.4732
600567,山鹰纸业,C,0.5763
600568,中珠医疗,C,0.6037
600570,恒生电子,I,1.2485
600572,康恩贝,C,1.0193
600573,惠泉啤酒,C,1.0147
600577,精达股份,C,0.3417
600578,京能电力,D,0.837
600579,天华院,C,0.6861
600580,卧龙电气,C,0.5763
600581,八一钢铁,C,0.801
600583,海油工程,B,0.0948
600584,长电科技,C,1.2088
600586,金晶科技,C,0.7308
600587,新华医疗,C,0.4462
600588,用友网络,I,0.3167
600589,广东榕泰,C,1.2094
600592,龙溪股份,C,0.8186
600593,大连圣亚,N,1.1036
600594,益佰制药,C,-0.525
600595,中孚实业,C,1.4196
600596,新安股份,C,1.5841
600597,光明乳业,C,2.7075
600598,北大荒,A,4.9807
600601,方正科技,C,2.1823
600606,绿地控股,K,1.6029
600608,*ST沪科,C,1.8103
600609,金杯汽车,C,1.5083
600616,金枫酒业,C,2.3953
600620,天宸股份,S,2.0665
600621,华鑫股份,K,1.7826
600622,嘉宝集团,K,1.478
600624,复旦复华,S,1.8766
600626,申达股份,F,-1.0429
600628,新世界,F,1.7108
600630,龙头股份,C,0.2535
600633,浙数文化,R,2.8955
600636,*ST爱富,C,1.1132
600638,新黄浦,K,1.0564
600640,号百控股,L,4.2405
600641,万业企业,K,2.7951
600642,申能股份,D,1.4472
600644,乐山电力,D,1.5716
600645,中源协和,M,0.8161
600649,城投控股,K,2.3038
600651,飞乐音响,C,1.1771
600652,游久游戏,B,1.7371
600654,*ST中安,C,2.9396
600655,豫园商城,F,2.012
600656,退市博元,F,1.2982
600657,信达地产,K,0.8197
600658,电子城,K,0.671
600661,新南洋,P,4.4163
600662,强生控股,G,0.4822
600664,哈药股份,C,1.1369
600665,天地源,K,1.343
600667,太极实业,C,0.9624
600668,尖峰集团,C,1.0368
600673,东阳光科,C,0.3372
600674,川投能源,D,0.7067
600675,中华企业,K,3.5879
600676,交运股份,G,2.2245
600677,航天通信,F,3.4374
600681,百川能源,R,2.0944
600683,京投发展,K,1.0709
600684,珠江实业,K,0.9022
600686,金龙汽车,C,1.6569
600687,刚泰控股,F,0.9231
600690,青岛海尔,C,-0.1895
600692,亚通股份,G,2.6635
600693,东百集团,F,2.0818
600694,大商股份,F,0.457
600696,*ST匹凸,K,0.122
600697,欧亚集团,F,0.9386
600699,均胜电子,C,-0.9496
600701,工大高新,S,1.2365
600702,沱牌舍得,C,1.2896
600703,三安光电,C,0.657
600704,物产中大,F,2.4083
600706,曲江文旅,N,2.718
600707,彩虹股份,C,1.5105
600708,光明地产,G,2.0511
600710,*ST常林,C,1.0446
600711,盛屯矿业,B,0.5399
600712,南宁百货,F,1.3695
600713,南京医药,F,1.0564
600716,凤凰股份,K,0.136
600717,天津港,G,2.8468
600718,东软集团,I,1.1566
600719,大连热电,D,0.9566
600720,祁连山,C,0.6893
600721,百花村,C,1.498
600722,金牛化工,C,2.0764
600723,首商股份,F,1.2017
600724,宁波富达,K,2.1087
600725,ST云维,C,0.965
600727,鲁北化工,C,1.246
600729,重庆百货,F,1.6259
600731,湖南海利,C,0.3657
600732,ST新梅,K,2.3854
600733,S*ST前锋,K,0.2343
600734,实达集团,F,1.5921
600736,苏州高新,K,1.1543
600737,中粮糖业,C,1.2821
600738,兰州民百,F,1.9136
600739,辽宁成大,F,1.7356
600741,华域汽车,C,1.689
600742,一汽富维,C,0.9489
600743,华远地产,K,0.7808
600745,中茵股份,K,2.6893
600746,江苏索普,C,0.3914
600747,*ST大控,K,0.928
600748,上实发展,K,3.1549
600750,江中药业,C,0.894
600756,浪潮软件,I,3.3087
600759,洲际油气,K,-1.0402
600760,中航黑豹,C,1.2957
600761,安徽合力,C,0.7157
600763,通策医疗,Q,0.7469
600765,中航重机,C,1.7312
600767,*ST运盛,K,1.4919
600768,宁波富邦,C,2.5188
600769,祥龙电业,C,0.81
600770,综艺股份,I,0.3373
600771,广誉远,C,1.3492
600773,西藏城投,K,1.2277
600774,汉商集团,F,0.3245
600777,新潮能源,S,-1.1243
600778,友好集团,F,1.7696
600779,水井坊,C,0.9994
600780,通宝能源,D,1.8201
600781,辅仁药业,C,1.5165
600782,新钢股份,C,1.7927
600783,鲁信创投,S,2.5802
600784,鲁银投资,S,1.9331
600785,新华百货,F,1.1901
600787,中储股份,G,2.9612
600789,鲁抗医药,C,0.4532
600790,轻纺城,L,1.0722
600791,京能置业,K,2.0538
600792,云煤能源,C,0.58
600793,宜宾纸业,C,0.9344
600794,保税科技,G,2.118
600795,国电电力,D,0.1966
600796,钱江生化,C,1.0071
600797,浙大网新,I,0.3524
600798,宁波海运,G,1.8836
600800,天津磁卡,C,2.0978
600802,福建水泥,C,0.7549
600803,新奥股份,C,1.2881
600804,鹏博士,I,1.3475
600805,悦达投资,S,0.8329
600807,天业股份,K,0.7054
600809,山西汾酒,C,0.7108
600810,神马股份,C,0.9212
600811,东方集团,F,1.6888
600812,华北制药,C,0.5324
600814,杭州解百,F,1.2375
600815,*ST厦工,C,1.9314
600817,*ST宏盛,S,2.3927
600821,津劝业,F,2.5871
600823,世茂股份,K,0.8412
600824,益民集团,F,2.6365
600825,新华传媒,R,2.9476
600826,兰生股份,F,2.3497
600828,茂业商业,F,1.4817
600829,人民同泰,C,1.1696
600830,香溢融通,F,2.9115
600831,广电网络,I,1.7799
600833,第一医药,F,1.3978
600834,申通地铁,G,1.9987
600836,界龙实业,C,2.2833
600838,上海九百,F,2.6597
600854,春兰股份,C,0.9423
600855,航天长峰,C,4.1065
600856,中天能源,F,1.9187
600857,宁波中百,F,-0.6255
600858,银座股份,F,1.5746
600859,王府井,F,2.1901
600861,北京城乡,F,0.2065
600863,内蒙华电,D,0.4845
600865,百大集团,F,0.125
600866,星湖科技,C,1.6829
600867,通化东宝,C,1.4639
600868,梅雁吉祥,D,1.7015
600869,智慧能源,C,2.7348
600870,厦华电子,C,2.5799
600872,中炬高新,C,0.6904
600877,*ST嘉陵,C,1.7372
600879,航天电子,C,2.4533
600880,博瑞传播,R,1.8982
600881,亚泰集团,C,1.1997
600882,广泽股份,B,1.6587
600883,博闻科技,C,1.8003
600884,杉杉股份,C,1.8585
600885,宏发股份,C,0.0674
600886,国投电力,D,-0.306
600887,伊利股份,C,1.6991
600888,新疆众和,C,1.424
600889,南京化纤,C,1.711
600890,中房股份,K,2.113
600891,秋林集团,F,1.0542
600893,航发动力,C,0.7901
600894,广日股份,C,-0.2585
600895,张江高科,S,3.7301
600896,览海投资,G,1.7971
600897,厦门空港,G,1.5912
600898,国美通讯,F,1.3785
600900,长江电力,D,0.5496
600960,渤海活塞,C,1.2147
600961,株冶集团,C,1.9806
600963,岳阳林纸,C,1.0721
600966,博汇纸业,C,0.8175
600967,内蒙一机,C,1.4448
600969,郴电国际,D,-0.3023
600970,中材国际,C,1.5051
600971,恒源煤电,B,1.6346
600973,宝胜股份,C,1.3642
600975,新五丰,A,1.7492
600976,健民集团,F,0.1868
600979,广安爱众,D,1.2146
600980,北矿科技,C,1.5913
600982,宁波热电,D,0.3842
600983,惠而浦,C,0.3679
600984,建设机械,C,1.2155
600985,雷鸣科化,C,1.714
600987,航民股份,C,1.6547
