股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.7386
600005,武钢股份,C,1.3506
600006,东风汽车,C,0.1239
600007,中国国贸,K,0.3756
600008,首创股份,D,1.3466
600009,上海机场,G,0.58
600010,包钢股份,C,1.1008
600017,日照港,G,0.5931
600018,上港集团,G,0.806
600019,宝钢股份,C,1.3665
600020,中原高速,G,1.4903
600021,上海电力,D,1.4769
600022,山东钢铁,C,1.3491
600023,浙能电力,D,0.9217
600031,三一重工,C,1.455
600033,福建高速,G,1.2701
600035,楚天高速,G,1.8291
600037,歌华有线,I,0.9631
600038,中直股份,C,0.4251
600048,保利地产,K,1.6053
600050,中国联通,I,1.4425
600051,宁波联合,F,0.642
600052,浙江广厦,K,0.5086
600055,万东医疗,C,0.9714
600056,中国医药,C,0.8796
600057,象屿股份,L,0.5392
600059,古越龙山,C,0.8322
600060,海信电器,C,0.8802
600062,华润双鹤,C,0.3236
600063,皖维高新,C,1.0918
600064,南京高科,K,1.1157
600066,宇通客车,C,0.4419
600067,冠城大通,K,0.8709
600069,银鸽投资,C,0.6678
600071,凤凰光学,C,0.5328
600074,保千里,C,0.4051
600075,新疆天业,C,0.3495
600076,康欣新材,C,0.1487
600077,宋都股份,K,0.816
600078,澄星股份,C,0.4814
600079,人福医药,C,0.3899
600080,金花股份,C,0.6045
600081,东风科技,C,0.0659
600082,海泰发展,S,0.6224
600083,博信股份,C,0.1749
600084,中葡股份,C,0.761
600085,同仁堂,C,0.9983
600086,东方金钰,C,0.4178
600088,中视传媒,R,0.7823
600089,特变电工,C,1.0324
600091,ST明科,C,1.7793
600093,易见股份,C,0.4806
600095,哈高科,C,0.7258
600096,云天化,C,0.9987
600098,广州发展,D,0.9659
600100,同方股份,C,0.7501
600101,明星电力,D,0.5912
600103,青山纸业,C,1.5947
600104,上汽集团,C,0.5341
600105,永鼎股份,C,1.8885
600107,美尔雅,C,0.2181
600108,亚盛集团,A,0.735
600111,北方稀土,C,0.9069
600112,*ST天成,C,0.5766
600113,浙江东日,F,1.5776
600114,东睦股份,C,0.455
600116,三峡水利,D,0.7669
600117,西宁特钢,C,1.0088
600118,中国卫星,C,1.258
600119,长江投资,G,0.6338
600121,*ST郑煤,B,1.0561
600123,兰花科创,B,0.8452
600125,铁龙物流,G,1.1378
600126,杭钢股份,C,1.1716
600127,金健米业,C,0.6714
600128,弘业股份,F,0.5181
600129,太极集团,C,0.9306
600130,波导股份,C,0.7712
600131,岷江水电,D,0.84
600132,重庆啤酒,C,0.9373
600135,乐凯胶片,C,0.4296
600136,当代明诚,R,-0.8591
600137,浪莎股份,C,0.7888
600138,中青旅,L,0.4848
600143,金发科技,C,1.0626
600148,长春一东,C,-0.1799
600149,*ST坊展,S,0.5568
600150,中国船舶,C,0.8066
600152,维科精华,C,0.7441
600157,永泰能源,B,0.9877
600158,中体产业,K,0.7711
600159,大龙地产,K,1.1019
600160,巨化股份,C,0.0539
600161,天坛生物,C,0.5933
600162,香江控股,K,0.8709
600163,中闽能源,C,1.5483
600166,福田汽车,C,0.7132
600169,太原重工,C,1.4869
600171,上海贝岭,C,0.8948
600172,黄河旋风,C,0.6743
600173,卧龙地产,K,1.4229
600175,美都能源,S,0.8917
600176,中国巨石,C,1.0451
600177,雅戈尔,K,1.2849
600178,东安动力,C,0.5554
600179,安通控股,C,2.2114
600180,瑞茂通,F,0.9312
600182,S佳通,C,0.9193
600183,生益科技,C,0.743
600184,光电股份,C,0.688
600185,格力地产,K,1.2778
600187,国中水务,D,0.9209
600191,华资实业,C,-0.1514
600192,长城电工,C,0.5434
600197,伊力特,C,0.7373
600198,大唐电信,C,0.8073
600199,金种子酒,C,1.0026
600201,生物股份,C,0.4231
600202,哈空调,C,1.0018
600203,福日电子,F,0.9637
600206,有研新材,C,0.6842
600208,新湖中宝,K,1.1736
600210,紫江企业,C,0.9158
600211,西藏药业,F,0.2135
