股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.5381
600005,武钢股份,C,1.3331
600006,东风汽车,C,1.2568
600007,中国国贸,L,1.0358
600008,首创股份,D,0.9876
600009,上海机场,G,0.8465
600010,包钢股份,C,2.9159
600017,日照港,G,1.2086
600018,上港集团,G,1.3445
600019,宝钢股份,C,0.7822
600020,中原高速,G,0.9328
600021,上海电力,D,2.4946
600022,山东钢铁,C,1.3409
600031,三一重工,C,1.8037
600033,福建高速,G,0.8756
600035,楚天高速,G,1.0004
600037,歌华有线,I,1.764
600048,保利地产,K,1.2921
600050,中国联通,I,0.0504
600051,宁波联合,S,2.3998
600052,浙江广厦,K,1.1446
600053,九鼎投资,K,1.6107
600055,万东医疗,C,0.6744
600057,象屿股份,C,0.9674
600058,五矿发展,F,1.2425
600059,古越龙山,C,1.1376
600060,海信电器,C,1.6165
600062,华润双鹤,C,0.6519
600063,皖维高新,C,2.5339
600064,南京高科,K,1.665
600066,宇通客车,C,0.6829
600067,冠城大通,C,1.6116
600069,银鸽投资,C,2.3301
600070,浙江富润,C,1.2704
600071,凤凰光学,C,0.3753
600072,中船科技,C,2.9997
600073,上海梅林,C,1.5301
600074,保千里,C,2.5889
600075,新疆天业,C,1.0435
600076,康欣新材,C,1.9106
600077,宋都股份,C,1.2531
600078,澄星股份,C,1.9171
600079,人福医药,C,0.2376
600080,金花股份,C,1.0866
600081,东风科技,C,2.1262
600082,海泰发展,K,2.7187
600083,博信股份,C,1.9053
600084,中葡股份,C,1.0738
600085,同仁堂,C,1.7624
600086,东方金钰,C,2.3445
600087,退市长油,G,1.3357
600088,中视传媒,R,1.7311
600089,特变电工,C,0.848
600090,同济堂,C,2.7224
600091,ST明科,C,1.9335
600093,易见股份,C,2.5343
600095,哈高科,C,2.7415
600097,开创国际,A,0.7269
600098,广州发展,D,0.7335
600099,林海股份,C,2.167
600100,同方股份,I,1.3145
600101,明星电力,D,2.6722
600103,青山纸业,C,1.7781
600104,上汽集团,C,1.0733
600105,永鼎股份,C,1.785
600106,重庆路桥,G,1.187
600107,美尔雅,C,2.2054
600108,亚盛集团,A,0.9767
600111,北方稀土,C,0.8906
600112,*ST天成,C,2.7877
600113,浙江东日,F,1.0811
600114,东睦股份,C,0.5789
