股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.6684
600005,武钢股份,C,1.1683
600006,东风汽车,C,1.2378
600007,中国国贸,L,0.1754
600008,首创股份,D,0.4827
600009,上海机场,G,1.0206
600010,包钢股份,C,3.1252
600017,日照港,G,0.8523
600018,上港集团,G,1.0407
600019,宝钢股份,C,0.8771
600020,中原高速,G,0.8593
600021,上海电力,D,1.0983
600022,山东钢铁,C,1.0899
600031,三一重工,C,2.8959
600033,福建高速,G,0.6757
600035,楚天高速,G,1.1327
600037,歌华有线,I,1.148
600038,中直股份,C,1.4309
600048,保利地产,K,1.3626
600050,中国联通,I,0.2185
600051,宁波联合,S,1.2202
600052,浙江广厦,K,1.2679
600053,九鼎投资,K,0.0719
600055,万东医疗,C,-0.2453
600057,象屿股份,C,1.2106
600058,五矿发展,F,2.2074
600059,古越龙山,C,0.4111
600060,海信电器,C,1.5994
600062,华润双鹤,C,-0.0486
600063,皖维高新,C,1.7555
600064,南京高科,K,1.2632
600066,宇通客车,C,1.1489
600067,冠城大通,C,1.3827
600069,银鸽投资,C,1.1672
600070,浙江富润,C,0.2881
600071,凤凰光学,C,0.7017
600072,中船科技,C,1.7618
600073,上海梅林,C,0.7139
600074,保千里,C,0.4579
600075,新疆天业,C,0.6879
600076,康欣新材,C,0.6351
600077,宋都股份,C,-0.0572
600078,澄星股份,C,1.3243
600079,人福医药,C,-0.64
600080,金花股份,C,0.2566
600081,东风科技,C,0.9235
600082,海泰发展,K,1.889
600083,博信股份,C,1.1909
600084,中葡股份,C,0.3916
600085,同仁堂,C,1.1197
600086,东方金钰,C,2.4348
600087,退市长油,G,0.7711
600088,中视传媒,R,0.6819
600089,特变电工,C,1.0152
600090,同济堂,C,1.4072
600091,ST明科,C,0.9764
600093,易见股份,C,1.134
600095,哈高科,C,3.3477
600096,云天化,C,1.9465
600097,开创国际,A,0.9853
600098,广州发展,D,0.5178
600099,林海股份,C,1.263
600100,同方股份,I,1.3758
600101,明星电力,D,2.9248
600102,莱钢股份,C,1.0652
600103,青山纸业,C,1.0126
600104,上汽集团,C,1.4316
600105,永鼎股份,C,1.2434
600106,重庆路桥,G,1.0043
600107,美尔雅,C,1.1222
600108,亚盛集团,A,0.4839
600111,北方稀土,C,1.5449
600112,*ST天成,C,1.417
600113,浙江东日,F,0.5786
600114,东睦股份,C,1.1354
600116,三峡水利,D,0.1742
600117,西宁特钢,C,2.5085
600118,中国卫星,C,0.555
600119,长江投资,S,0.6742
600120,浙江东方,F,0.8263
600122,宏图高科,F,1.2485
600123,兰花科创,B,1.8081
600125,铁龙物流,G,0.5052
600126,杭钢股份,C,0.8782
600127,金健米业,C,0.7278
600128,弘业股份,F,1.7657
600129,太极集团,C,0.7388
600130,波导股份,C,0.413
600131,岷江水电,D,1.07
600135,乐凯胶片,C,0.5527
600136,当代明诚,K,1.2594
600137,浪莎股份,C,0.4636
600138,中青旅,L,0.384
600139,西部资源,B,1.2109
600141,兴发集团,C,1.7072
600143,金发科技,C,1.0223
600146,商赢环球,C,1.7439
600148,长春一东,C,0.8108
600149,*ST坊展,C,-0.0165
600150,中国船舶,C,1.3264
600151,航天机电,C,1.3066
600152,维科精华,C,0.5919
600153,建发股份,F,1.7645
600156,华升股份,C,0.6096
600157,永泰能源,S,1.7447
600158,中体产业,O,0.8773
600159,大龙地产,K,0.8451
600160,巨化股份,C,2.5532
600161,天坛生物,C,0.7656
600162,香江控股,K,0.8586
600167,联美控股,D,0.1678
600168,武汉控股,D,0.2997
600169,太原重工,C,1.2612
600171,上海贝岭,C,1.1688
600172,黄河旋风,C,2.0319
600173,卧龙地产,K,0.6755
600175,美都能源,S,1.3038
600176,中国巨石,C,1.9674
600177,雅戈尔,C,0.8791
600178,东安动力,C,1.3301
600179,安通控股,C,1.7395
600182,S佳通,C,0.3084
600183,生益科技,C,1.0478
600184,光电股份,C,1.2351
600185,格力地产,K,1.0894
600186,莲花健康,C,1.5942
600187,国中水务,D,0.7058
600189,吉林森工,A,0.6574
600191,华资实业,C,1.1642
600192,长城电工,C,0.6325
600193,创兴资源,S,2.1205
600195,中牧股份,C,0.3175
