股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.8367
600005,武钢股份,C,1.0419
600006,东风汽车,C,1.542
600007,中国国贸,K,0.9001
600008,首创股份,D,1.3723
600009,上海机场,G,1.0259
600010,包钢股份,C,0.9933
600017,日照港,G,1.4616
600019,宝钢股份,C,0.6584
600020,中原高速,G,1.4052
600021,上海电力,D,1.0203
600022,山东钢铁,C,1.2174
600031,三一重工,C,1.48
600033,福建高速,G,1.3188
600037,歌华有线,I,1.0015
600038,中直股份,C,1.4265
600048,保利地产,K,1.1187
600050,中国联通,I,0.8643
600051,宁波联合,F,0.2429
600052,浙江广厦,K,0.7947
600053,九鼎投资,K,1.1591
600055,万东医疗,C,2.5529
600056,中国医药,C,1.6924
600057,象屿股份,L,3.0386
600058,五矿发展,F,1.9259
600059,古越龙山,C,0.8636
600060,海信电器,C,0.9711
600062,华润双鹤,C,0.9941
600063,皖维高新,C,2.0219
600064,南京高科,K,1.1713
600066,宇通客车,C,0.9294
600067,冠城大通,K,2.2364
600069,银鸽投资,C,1.663
600070,浙江富润,C,2.7378
600071,凤凰光学,C,2.1119
600072,中船科技,C,3.2449
600073,上海梅林,C,2.066
600074,保千里,C,-0.3685
600075,新疆天业,C,1.6844
600077,宋都股份,K,1.8115
600078,澄星股份,C,1.4191
600079,人福医药,C,0.2068
600080,金花股份,C,1.081
600081,东风科技,C,0.7013
600082,海泰发展,S,1.1201
600083,博信股份,C,1.0214
600084,中葡股份,C,0.8155
600085,同仁堂,C,1.1879
600086,东方金钰,C,1.4739
600088,中视传媒,R,2.2698
600089,特变电工,C,1.5284
600093,易见股份,C,1.9624
600095,哈高科,C,1.7364
600096,云天化,C,1.3223
600097,开创国际,A,1.2136
600098,广州发展,D,1.0896
600099,林海股份,C,2.1507
600100,同方股份,C,0.2416
600101,明星电力,D,0.739
600104,上汽集团,C,1.2824
600106,重庆路桥,G,0.8395
600107,美尔雅,C,1.7376
600108,亚盛集团,A,2.4617
600110,诺德股份,C,1.9907
600111,北方稀土,C,1.5328
600114,东睦股份,C,1.1753
600116,三峡水利,D,1.1535
600117,西宁特钢,C,1.341
600118,中国卫星,C,1.9352
600119,长江投资,G,1.19
600120,浙江东方,F,1.0324
600121,*ST郑煤,B,2.0113
600122,宏图高科,F,0.8465
600123,兰花科创,B,2.1073
600125,铁龙物流,G,1.3355
600127,金健米业,C,1.3024
600128,弘业股份,F,1.7311
600130,波导股份,C,0.6864
600131,岷江水电,D,1.4837
600132,重庆啤酒,C,1.0411
600135,乐凯胶片,C,2.5499
600136,当代明诚,F,-0.2882
600137,浪莎股份,C,1.2399
600138,中青旅,L,0.1023
600139,西部资源,B,0.9523
600141,兴发集团,C,1.1382
600143,金发科技,C,1.0321
600145,*ST新亿,C,2.2384
600148,长春一东,C,2.1743
600149,*ST坊展,S,1.5676
600150,中国船舶,C,2.9726
600151,航天机电,C,2.163
600152,维科精华,C,1.8269
600153,建发股份,F,1.5868
600156,华升股份,C,1.538
600157,永泰能源,B,4.0668
