股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.8535
600005,武钢股份,C,0.6637
600006,东风汽车,C,1.1528
600007,中国国贸,K,1.1008
600008,首创股份,D,0.6475
600009,上海机场,G,1.0294
600010,包钢股份,C,0.8939
600017,日照港,G,0.928
600018,上港集团,G,1.5998
600019,宝钢股份,C,0.6289
600020,中原高速,G,0.7823
600021,上海电力,D,0.995
600022,山东钢铁,C,0.9004
600031,三一重工,C,1.6707
600033,福建高速,G,0.7126
600035,楚天高速,G,0.9926
600037,歌华有线,I,1.4892
600038,中直股份,C,1.4352
600048,保利地产,K,1.1051
600050,中国联通,I,0.9468
600052,浙江广厦,K,1.6237
600055,万东医疗,C,1.9199
600056,中国医药,F,1.0793
600059,古越龙山,C,0.974
600060,海信电器,C,0.9093
600062,华润双鹤,C,1.0582
600064,南京高科,K,1.6338
600066,宇通客车,C,0.8391
600067,冠城大通,K,1.1362
600069,银鸽投资,C,1.1105
600070,浙江富润,C,1.3212
600071,凤凰光学,C,1.6144
600072,中船科技,C,1.9615
600073,上海梅林,C,1.258
600075,新疆天业,C,1.24
600076,康欣新材,C,1.3149
600077,宋都股份,K,1.6405
600078,澄星股份,C,1.4954
600079,人福医药,C,0.7851
600080,金花股份,C,1.002
600081,东风科技,C,1.7078
600082,海泰发展,S,1.6996
600083,博信股份,C,1.3394
600084,中葡股份,C,1.3742
600085,同仁堂,C,0.3854
600086,东方金钰,C,1.5509
600088,中视传媒,R,1.6572
600089,特变电工,C,1.4277
600090,同济堂,C,1.473
600091,ST明科,C,0.9657
600093,易见股份,C,0.8943
600095,哈高科,C,1.254
600096,云天化,C,1.4327
600097,开创国际,A,1.0715
600098,广州发展,D,1.0969
600099,林海股份,C,1.4487
600100,同方股份,C,1.2841
600101,明星电力,D,1.5494
600103,青山纸业,C,1.1208
600104,上汽集团,C,1.2318
600105,永鼎股份,C,1.462
600106,重庆路桥,G,0.9753
600107,美尔雅,C,0.9936
600108,亚盛集团,A,1.3217
600110,诺德股份,C,0.2849
600111,北方稀土,C,1.513
600113,浙江东日,F,2.2659
600114,东睦股份,C,0.925
600116,三峡水利,D,1.2207
600117,西宁特钢,C,1.3083
600118,中国卫星,C,1.7704
600119,长江投资,G,1.7156
600120,浙江东方,F,1.3315
600121,*ST郑煤,B,1.3167
600122,宏图高科,F,1.215
600123,兰花科创,B,1.4893
600125,铁龙物流,G,1.7559
600126,杭钢股份,C,1.0794
600127,金健米业,C,1.1706
600128,弘业股份,F,1.5059
600129,太极集团,C,1.1886
600130,波导股份,C,1.0615
600131,岷江水电,D,1.5
600132,重庆啤酒,C,1.0261
600135,乐凯胶片,C,1.5829
600136,当代明诚,F,1.5422
600137,浪莎股份,C,1.4638
600138,中青旅,L,1.2748
600143,金发科技,C,1.3977
600145,*ST新亿,C,1.6319
600148,长春一东,C,1.2366
600150,中国船舶,C,1.4525
600151,航天机电,C,0.9169
600152,维科精华,C,1.5538
600153,建发股份,F,1.7587
600156,华升股份,C,1.1205
600157,永泰能源,B,2.3643
600158,中体产业,K,1.5433
600159,大龙地产,K,1.0747
600160,巨化股份,C,1.677
600161,天坛生物,C,1.1357
600162,香江控股,K,2.1411
