股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.4696
600005,武钢股份,C,1.089
600006,东风汽车,C,0.1939
600007,中国国贸,K,0.593
600008,首创股份,D,1.8701
600009,上海机场,G,0.7579
600010,包钢股份,C,1.3188
600017,日照港,G,0.5316
600018,上港集团,G,0.5538
600019,宝钢股份,C,1.4768
600020,中原高速,G,0.988
600021,上海电力,D,0.9139
600022,山东钢铁,C,1.2808
600023,浙能电力,D,0.6984
600031,三一重工,C,2.144
600033,福建高速,G,0.7329
600037,歌华有线,I,-0.4817
600038,中直股份,C,0.0336
600048,保利地产,K,2.1567
600050,中国联通,I,1.0808
600051,宁波联合,F,-0.6194
600052,浙江广厦,K,-0.9173
600055,万东医疗,C,-0.4489
600056,中国医药,C,0.9289
600057,象屿股份,L,0.2529
600058,五矿发展,F,1.2009
600059,古越龙山,C,0.3313
600060,海信电器,C,0.2569
600063,皖维高新,C,0.4605
600064,南京高科,K,0.5205
600066,宇通客车,C,0.8008
600067,冠城大通,K,0.8631
600069,银鸽投资,C,0.0515
600070,浙江富润,C,-0.6626
600071,凤凰光学,C,-0.1421
600072,中船科技,C,0.1465
600073,上海梅林,C,0.4341
600074,保千里,C,-0.5042
600075,新疆天业,C,0.2017
600077,宋都股份,K,0.0214
600078,澄星股份,C,-0.6843
600079,人福医药,C,-0.0545
600080,金花股份,C,-0.7274
600081,东风科技,C,-0.5389
600082,海泰发展,S,0.0588
600084,中葡股份,C,0.201
600085,同仁堂,C,0.916
600088,中视传媒,R,-0.7067
600089,特变电工,C,1.0096
600093,易见股份,C,-0.5366
600095,哈高科,C,-0.1743
600096,云天化,C,1.1366
600097,开创国际,A,0.2053
600098,广州发展,D,1.3226
600099,林海股份,C,-0.4092
600100,同方股份,C,-0.0464
600101,明星电力,D,0.316
600104,上汽集团,C,0.5326
600106,重庆路桥,G,0.5494
600107,美尔雅,C,0.298
600108,亚盛集团,A,0.8819
600110,诺德股份,C,0.215
600111,北方稀土,C,0.7552
600112,*ST天成,C,-0.9624
600113,浙江东日,F,2.4887
600114,东睦股份,C,-0.4438
600116,三峡水利,D,0.6679
600117,西宁特钢,C,0.34
600118,中国卫星,C,1.1038
600119,长江投资,G,-0.0488
600120,浙江东方,F,0.3617
600121,*ST郑煤,B,0.5731
600122,宏图高科,F,0.0604
600123,兰花科创,B,0.9038
600125,铁龙物流,G,0.8326
600127,金健米业,C,0.2977
600128,弘业股份,F,-0.1223
600130,波导股份,C,-0.5508
600131,岷江水电,D,0.4058
600132,重庆啤酒,C,0.1867
600135,乐凯胶片,C,-0.3056
600137,浪莎股份,C,-0.5967
600138,中青旅,L,-0.2853
600139,西部资源,B,-0.6866
600141,兴发集团,C,0.5892
600143,金发科技,C,0.7609
