股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.7732
600005,武钢股份,C,0.3788
600006,东风汽车,C,1.083
600007,中国国贸,K,0.7329
600008,首创股份,D,0.2691
600009,上海机场,G,0.536
600010,包钢股份,C,0.8644
600017,日照港,G,0.6045
600018,上港集团,G,0.5784
600019,宝钢股份,C,0.4875
600020,中原高速,G,0.7779
600021,上海电力,D,0.8275
600022,山东钢铁,C,0.7514
600031,三一重工,C,2.1646
600033,福建高速,G,0.6224
600035,楚天高速,G,0.9389
600037,歌华有线,I,0.9661
600038,中直股份,C,1.3803
600048,保利地产,K,1.1016
600050,中国联通,I,0.7504
600051,宁波联合,F,0.942
600052,浙江广厦,K,2.1857
600055,万东医疗,C,1.7424
600056,中国医药,F,0.8821
600057,象屿股份,L,1.2058
600058,五矿发展,F,2.2455
600059,古越龙山,C,1.087
600060,海信电器,C,1.5925
600062,华润双鹤,C,0.8162
600063,皖维高新,C,1.4136
600064,南京高科,K,2.0137
600066,宇通客车,C,0.9699
600067,冠城大通,K,1.8326
600069,银鸽投资,C,1.0512
600070,浙江富润,C,1.7994
600071,凤凰光学,C,1.2942
600072,中船科技,C,1.7891
600073,上海梅林,C,0.7281
600075,新疆天业,C,1.091
600076,康欣新材,C,0.9883
600077,宋都股份,K,1.6356
600078,澄星股份,C,1.4377
600079,人福医药,C,0.3461
600080,金花股份,C,0.4506
600081,东风科技,C,1.6789
600082,海泰发展,S,1.8937
600083,博信股份,C,0.837
600084,中葡股份,C,1.1425
600085,同仁堂,C,0.0677
600086,东方金钰,C,1.7751
600089,特变电工,C,1.4019
600090,同济堂,C,1.3659
600091,ST明科,C,0.4677
600093,易见股份,C,0.8442
600095,哈高科,C,1.4141
600096,云天化,C,1.1315
600097,开创国际,A,1.0062
600098,广州发展,D,0.5579
600099,林海股份,C,1.3601
600100,同方股份,C,1.0671
600101,明星电力,D,2.12
600103,青山纸业,C,0.7625
600104,上汽集团,C,1.4812
600105,永鼎股份,C,1.3913
