股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.8758
600005,武钢股份,C,1.0622
600006,东风汽车,C,1.223
600007,中国国贸,K,1.4707
600008,首创股份,D,1.7961
600009,上海机场,G,1.4513
600010,包钢股份,C,0.6525
600017,日照港,G,1.2936
600018,上港集团,G,2.5927
600019,宝钢股份,C,0.9574
600020,中原高速,G,0.9881
600021,上海电力,D,0.9853
600022,山东钢铁,C,1.1861
600031,三一重工,C,1.1029
600033,福建高速,G,0.8553
600035,楚天高速,G,1.007
600037,歌华有线,I,2.04
600038,中直股份,C,1.7042
600048,保利地产,K,0.9115
600050,中国联通,I,1.069
600051,宁波联合,F,1.1321
600052,浙江广厦,K,1.4013
600053,九鼎投资,K,1.1456
600056,中国医药,C,1.5521
600057,象屿股份,L,2.7775
600058,五矿发展,F,2.3352
600060,海信电器,C,0.4155
600062,华润双鹤,C,0.9009
600063,皖维高新,C,1.4803
600064,南京高科,K,1.2315
600066,宇通客车,C,0.5649
600067,冠城大通,K,0.4935
600069,银鸽投资,C,1.4009
600073,上海梅林,C,2.4416
600076,康欣新材,C,1.7321
600077,宋都股份,K,1.1477
600078,澄星股份,C,1.6561
600079,人福医药,C,1.0624
600080,金花股份,C,1.2679
600081,东风科技,C,2.0207
600082,海泰发展,S,1.9194
600083,博信股份,C,1.6244
600084,中葡股份,C,1.4179
600085,同仁堂,C,0.5417
600086,东方金钰,C,0.7881
600088,中视传媒,R,1.5384
600089,特变电工,C,1.9536
600090,同济堂,C,1.8963
600091,ST明科,C,1.751
600093,易见股份,C,0.681
600095,哈高科,C,1.8184
600096,云天化,C,1.9463
600097,开创国际,A,1.2615
600098,广州发展,D,1.5262
600099,林海股份,C,1.6736
600100,同方股份,C,1.3895
600101,明星电力,D,1.0048
600103,青山纸业,C,1.4268
600104,上汽集团,C,1.1676
600105,永鼎股份,C,1.3185
600106,重庆路桥,G,0.8282
600107,美尔雅,C,1.9377
600108,亚盛集团,A,1.9702
600110,诺德股份,C,1.1553
600111,北方稀土,C,1.9938
600112,*ST天成,C,1.3054
600114,东睦股份,C,0.789
600116,三峡水利,D,1.4522
600117,西宁特钢,C,1.42
600118,中国卫星,C,2.1488
600119,长江投资,G,2.8742
600120,浙江东方,F,1.7102
600121,*ST郑煤,B,1.5303
600122,宏图高科,F,1.6777
600123,兰花科创,B,1.5438
600125,铁龙物流,G,1.6855
600126,杭钢股份,C,1.573
600127,金健米业,C,1.2042
600128,弘业股份,F,1.9495
600130,波导股份,C,1.4761
600131,岷江水电,D,1.2249
600132,重庆啤酒,C,1.3984
600136,当代明诚,F,1.3733
600137,浪莎股份,C,1.6522
600138,中青旅,L,1.3687
600141,兴发集团,C,1.997
600143,金发科技,C,1.3809
600145,*ST新亿,C,1.8099
600146,商赢环球,C,1.8544
600148,长春一东,C,2.1309
600150,中国船舶,C,1.5291
600151,航天机电,C,1.2316
600152,维科精华,C,2.2123
600153,建发股份,F,1.4918
600156,华升股份,C,1.2994
600157,永泰能源,B,2.5149
600158,中体产业,K,1.8206
600159,大龙地产,K,0.7608
600160,巨化股份,C,1.997
600161,天坛生物,C,1.3807
600162,香江控股,K,1.9689
600163,中闽能源,C,1.7632
600165,新日恒力,C,-0.4415
600166,福田汽车,C,1.4736
600167,联美控股,D,1.0819
600168,武汉控股,D,1.6
600169,太原重工,C,1.7514
600171,上海贝岭,C,2.4089
600172,黄河旋风,C,1.7703
600173,卧龙地产,K,1.4911
600175,美都能源,F,2.207
600176,中国巨石,C,0.5787
600177,雅戈尔,C,1.446
600178,东安动力,C,2.0695
600179,安通控股,C,1.8779
600180,瑞茂通,F,1.661
600182,S佳通,C,0.9477
600183,生益科技,C,1.5503
600184,光电股份,C,1.6477
600185,格力地产,K,1.8548
600186,莲花健康,C,1.3066
600187,国中水务,D,-0.186
600189,吉林森工,C,0.4292
600191,华资实业,C,1.2042
600192,长城电工,C,0.4349
600193,创兴资源,B,1.7426
