股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
600004,白云机场,G,0.7741
600005,武钢股份,C,1.0271
600006,东风汽车,C,1.7249
600007,中国国贸,L,0.922
600008,首创股份,D,1.2856
600009,上海机场,G,0.4795
600010,包钢股份,C,0.7617
600017,日照港,G,1.029
600018,上港集团,G,0.9319
600019,宝钢股份,C,0.9049
600020,中原高速,G,1.1116
600021,上海电力,D,0.8556
600022,山东钢铁,C,1.1746
600031,三一重工,C,1.8158
600033,福建高速,G,1.0053
600035,楚天高速,G,0.962
600037,歌华有线,I,1.599
600038,中直股份,C,0.691
600048,保利地产,K,0.9579
600050,中国联通,I,0.576
600051,宁波联合,S,1.9784
600052,浙江广厦,K,1.9732
600053,九鼎投资,K,1.5712
600055,万东医疗,C,1.2309
600056,中国医药,F,2.1578
600057,象屿股份,O,1.5311
600058,五矿发展,F,1.1375
600059,古越龙山,C,1.4489
600060,海信电器,C,2.6647
600062,华润双鹤,C,0.5988
600063,皖维高新,C,2.6088
600064,南京高科,K,1.7764
600066,宇通客车,C,0.4367
600067,冠城大通,C,2.0927
600069,银鸽投资,C,1.945
600070,浙江富润,C,1.7403
600071,凤凰光学,C,1.1487
600072,中船科技,C,2.173
600073,上海梅林,C,1.022
600075,新疆天业,C,1.4376
600076,康欣新材,C,1.5293
600077,宋都股份,K,0.2452
600078,澄星股份,C,2.0765
600079,人福医药,C,0.3238
600080,金花股份,C,0.8689
600081,东风科技,C,2.4187
600082,海泰发展,K,2.432
600083,博信股份,C,1.2701
600084,中葡股份,C,0.5782
600085,同仁堂,C,0.3938
600086,东方金钰,C,1.0037
600087,退市长油,G,1.4173
600088,中视传媒,R,2.3713
600089,特变电工,C,1.5085
600090,同济堂,C,1.9212
600091,ST明科,C,1.3609
600093,易见股份,C,1.403
600095,哈高科,C,2.3589
600096,云天化,C,1.3348
600097,开创国际,A,1.358
600098,广州发展,D,-0.0445
600099,林海股份,C,2.1511
600101,明星电力,D,1.8561
600103,青山纸业,C,1.8631
