股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
000004,国农科技,C,0.8598
000006,深振业A,K,0.3332
000007,全新好,H,0.4336
000008,神州高铁,F,0.6161
000009,中国宝安,S,1.2826
000014,沙河股份,K,0.7989
000021,深科技,C,0.4663
000027,深圳能源,D,0.6608
000031,中粮地产,K,0.5582
000032,深桑达A,C,0.7914
000033,新都退,H,0.5823
000034,神州数码,S,1.1047
000036,华联控股,K,0.7568
000040,东旭蓝天,K,0.6934
000042,中洲控股,K,0.7735
000046,泛海控股,K,1.077
000048,康达尔,C,-0.0926
000049,德赛电池,C,1.3263
000050,深天马A,C,1.4478
000059,华锦股份,C,1.0512
000060,中金岭南,C,1.794
000061,农产品,F,0.7052
000062,深圳华强,S,1.1133
000066,中国长城,C,0.7435
000069,华侨城A,L,0.6016
000070,特发信息,C,0.8711
000078,海王生物,C,0.9279
000088,盐田港,G,0.5218
000089,深圳机场,G,0.5316
000096,广聚能源,F,1.1476
000099,中信海直,G,1.6772
000100,TCL集团,C,0.6734
000150,宜华健康,K,0.4369
000153,丰原药业,C,0.7521
000155,*ST川化,C,0.9767
000158,常山股份,C,0.8945
000159,国际实业,C,1.0412
000301,东方市场,S,0.8279
000400,许继电气,C,0.974
000401,冀东水泥,C,1.1526
000402,金融街,K,0.5114
000404,华意压缩,C,0.8105
000407,胜利股份,C,0.706
000408,藏格控股,C,1.3094
000409,山东地矿,C,0.49
000410,*ST沈机,C,1.216
000411,英特集团,F,0.2787
000415,渤海金控,L,0.8763
000417,合肥百货,F,0.4771
000419,通程控股,F,0.5823
000420,吉林化纤,C,1.1063
000421,南京公用,N,0.9209
000422,湖北宜化,C,1.6916
000423,东阿阿胶,C,-0.0032
000425,徐工机械,C,1.7663
000426,兴业矿业,D,2.078
000428,华天酒店,L,0.1206
000430,张家界,L,1.5484
000501,鄂武商A,F,0.3344
000502,绿景控股,K,0.7403
000503,海虹控股,S,1.5254
000504,南华生物,R,0.1979
000506,中润资源,K,2.1915
000507,珠海港,S,1.134
000510,金路集团,C,0.9456
000511,*ST烯碳,K,0.4998
000514,渝开发,K,0.8333
000516,国际医学,F,0.4326
000517,荣安地产,K,0.6181
000518,四环生物,C,1.6044
000519,中兵红箭,C,1.115
000520,长航凤凰,G,0.4348
000523,广州浪奇,C,0.7531
000525,红太阳,C,0.7888
000526,*ST紫学,S,1.3047
000527,美的电器,C,1.237
000529,广弘控股,C,0.6799
000531,穗恒运A,D,0.6936
000532,华金资本,S,1.1312
000533,万家乐,C,0.7845
000534,万泽股份,K,1.0549
000536,华映科技,C,0.8427
000537,广宇发展,K,1.2031
000538,云南白药,C,0.1621
000540,中天金融,S,1.933
000543,皖能电力,D,0.8427
000544,中原环保,N,0.9873
000545,金浦钛业,C,1.2741
000546,金圆股份,K,0.477
000547,航天发展,C,1.4473
000548,湖南投资,G,0.8785
000551,创元科技,C,0.6832
000554,泰山石油,F,1.359
000555,神州信息,C,0.3647
000558,莱茵体育,K,0.7082
000560,昆百大A,F,1.14
000561,烽火电子,C,0.5365
000564,供销大集,F,0.673
000565,渝三峡A,C,0.8201
000566,海南海药,C,0.7481
000567,海德股份,K,0.4762
000568,泸州老窖,C,0.7886
000571,新大洲A,C,0.8046
000572,海马汽车,C,0.527
000573,粤宏远A,K,1.0444
000576,广东甘化,S,1.2536
000582,北部湾港,G,0.8998
000584,友利控股,C,0.8785
000586,汇源通信,I,0.7359
000587,金洲慈航,C,1.4436
000589,黔轮胎A,C,0.8267
000590,启迪古汉,C,1.6644
000591,太阳能,F,0.6708
000592,平潭发展,A,1.3714
000593,大通燃气,D,0.9526
000594,国恒退,F,0.5633
000597,东北制药,C,1.0738
000598,兴蓉环境,N,1.1593
000599,青岛双星,C,0.493
000600,建投能源,D,0.625
000601,韶能股份,D,0.6725
000602,金马集团,I,1.9825
000603,盛达矿业,C,1.364
000605,渤海股份,C,0.6773
000606,神州易桥,C,1.471
000607,华媒控股,C,0.6997
000608,阳光股份,K,0.6562
000609,绵石投资,K,0.1964
000610,西安旅游,L,1.6439
000612,焦作万方,C,1.3509
000615,京汉股份,C,0.9399
000616,海航投资,K,0.5935
000617,中油资本,C,1.6469
000619,海螺型材,C,0.97
000620,新华联,K,2.642
000623,吉林敖东,C,1.575
000626,远大控股,F,0.1358
000629,*ST钒钛,C,1.0088
000630,铜陵有色,C,2.3272
000631,顺发恒业,K,0.6651
000632,三木集团,S,0.7461
000633,合金投资,S,0.4576
000635,英力特,C,1.2422
000636,风华高科,C,1.3544
000637,茂化实华,C,0.7692
000639,西王食品,C,0.9443
000650,仁和药业,C,0.7086
000651,格力电器,C,1.546
000652,泰达股份,S,0.8721
000656,金科股份,K,0.8873
000659,*ST中富,C,1.2183
000661,长春高新,C,0.9894
000663,永安林业,A,1.008
000665,湖北广电,C,0.8491
000667,美好置业,K,0.4883
000668,荣丰控股,K,0.7059
000669,金鸿能源,C,2.1245
000671,阳光城,K,1.0705
000673,当代东方,C,0.9518
000676,智度股份,C,0.6107
000679,大连友谊,F,0.9695
000680,山推股份,C,1.3162
000682,东方电子,C,0.8476
000683,远兴能源,C,1.0619
000685,中山公用,D,0.9253
000687,华讯方舟,C,0.5791
000690,宝新能源,D,0.7353
000691,ST亚太,S,1.9347
000692,惠天热电,D,0.6048
000697,炼石有色,C,1.5884
000698,沈阳化工,C,1.038
000700,模塑科技,C,0.7036
000701,厦门信达,S,0.9569
000702,正虹科技,C,0.4008
000703,恒逸石化,C,1.5553
000705,浙江震元,F,0.9054
000708,大冶特钢,C,0.8182
000709,河钢股份,C,0.4217
000710,*ST天仪,C,1.2879
000711,京蓝科技,K,1.254
000713,丰乐种业,A,1.1345
000715,中兴商业,F,0.6578
000717,韶钢松山,C,0.5774
000718,苏宁环球,K,0.751
000720,新能泰山,D,0.3887
000721,西安饮食,H,1.082
000727,华东科技,C,1.6207
000729,燕京啤酒,C,-0.0587
000731,四川美丰,C,0.8139
000732,泰禾集团,K,-0.3032
000733,振华科技,C,0.9945
000735,罗牛山,A,0.826
000736,中房地产,K,1.1449
000737,南风化工,C,1.1835
000738,航发控制,C,1.545
000748,长城信息,C,0.7815
000751,锌业股份,C,1.3782
000752,西藏发展,C,1.6408
000753,漳州发展,F,0.5219
000755,*ST三维,C,2.3593
000758,中色股份,B,2.5058
000759,中百集团,F,0.6693
000760,斯太尔,C,0.6697
000762,西藏矿业,B,1.522
000766,通化金马,C,0.7415
000777,中核科技,C,1.3634
000778,新兴铸管,C,0.906
000779,三毛派神,C,0.9757
000780,*ST平能,B,0.95
000782,美达股份,C,0.7862
000785,武汉中商,F,0.8495
000786,北新建材,C,1.3043
000788,北大医药,C,1.3301
000789,万年青,C,1.5519
000790,泰合健康,C,0.8717
000792,盐湖股份,C,0.9989
000793,华闻传媒,R,0.741
000795,英洛华,C,2.6521
000796,凯撒旅游,C,0.2067
000797,中国武夷,K,0.7494
000798,中水渔业,A,1.7101
000799,酒鬼酒,C,1.1425
000800,一汽轿车,C,0.8443
000801,四川九洲,C,0.9321
000803,*ST金宇,C,0.3693
000806,银河生物,C,0.4809
000807,云铝股份,C,2.0963
000809,*ST新城,C,1.322
000811,烟台冰轮,C,0.4334
000812,陕西金叶,C,1.1972
000813,德展健康,C,1.7214
000818,方大化工,C,1.1036
000819,岳阳兴长,C,1.6412
000821,京山轻机,C,1.5534
000822,山东海化,C,1.2067
000825,太钢不锈,C,0.6322
000826,启迪桑德,N,0.4632
000828,东莞控股,G,0.4525
000829,天音控股,F,0.5131
