股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
000004,国农科技,C,1.012
000005,世纪星源,S,1.1929
000006,深振业A,K,2.0481
000007,全新好,H,0.3275
000008,神州高铁,F,1.0105
000009,中国宝安,S,1.0525
000014,沙河股份,K,1.3598
000021,深科技,C,0.0269
000027,深圳能源,D,1.0059
000031,中粮地产,K,0.9741
000032,深桑达A,C,0.8714
000033,新都退,H,0.7542
000035,中国天楹,C,0.7918
000036,华联控股,K,1.42
000042,中洲控股,K,1.5952
000043,中航地产,K,1.3485
000046,泛海控股,K,1.5671
000048,康达尔,C,0.5155
000049,德赛电池,C,0.6137
000050,深天马A,C,0.781
000060,中金岭南,C,1.4802
000061,农产品,F,0.0946
000062,深圳华强,S,0.9872
000066,中国长城,C,0.1821
000069,华侨城A,L,1.0544
000070,特发信息,C,0.9682
000078,海王生物,C,0.9326
000088,盐田港,G,0.7207
000089,深圳机场,G,0.9276
000096,广聚能源,F,1.3912
000099,中信海直,G,1.8414
000100,TCL集团,C,0.6654
000150,宜华健康,K,0.4852
000151,中成股份,F,1.2619
000153,丰原药业,C,0.806
000155,*ST川化,C,1.0991
000158,常山股份,C,0.9731
000159,国际实业,C,1.7812
000301,东方市场,S,0.8246
000400,许继电气,C,0.5126
000401,冀东水泥,C,1.2037
000402,金融街,K,0.8288
000407,胜利股份,C,1.3316
000408,藏格控股,C,0.8505
000409,山东地矿,C,0.7823
000410,*ST沈机,C,1.2063
000411,英特集团,F,0.4477
000417,合肥百货,F,0.4444
000419,通程控股,F,0.1229
000420,吉林化纤,C,0.5721
000421,南京公用,N,1.3245
000423,东阿阿胶,C,-0.1018
000425,徐工机械,C,1.1405
000426,兴业矿业,D,1.1452
000428,华天酒店,L,0.5562
000430,张家界,L,1.2899
000501,鄂武商A,F,0.373
000502,绿景控股,K,0.9819
000503,海虹控股,S,1.0992
000504,南华生物,R,0.4543
000506,中润资源,K,1.152
000507,珠海港,S,1.0316
000510,金路集团,C,1.0639
000511,*ST烯碳,K,0.9619
000514,渝开发,K,1.2158
000516,国际医学,F,0.6705
000517,荣安地产,K,1.1113
000518,四环生物,C,0.5925
000519,中兵红箭,C,1.0106
000520,长航凤凰,G,1.1956
000522,白云山A,C,0.7957
000523,广州浪奇,C,0.9583
000524,岭南控股,H,1.0181
000525,红太阳,C,0.6519
000526,*ST紫学,S,0.8482
000527,美的电器,C,1.3265
000528,柳工,C,1.5354
000529,广弘控股,C,1.0962
000531,穗恒运A,D,0.8767
000533,万家乐,C,0.2596
000534,万泽股份,K,1.0471
000536,华映科技,C,0.3079
000537,广宇发展,K,0.958
000538,云南白药,C,0.0428
000543,皖能电力,D,1.0204
000544,中原环保,C,1.0303
000546,金圆股份,K,0.8246
000547,航天发展,C,0.6792
000548,湖南投资,G,1.4433
000551,创元科技,C,0.3028
000552,靖远煤电,B,1.7724
000554,泰山石油,F,1.2458
000555,神州信息,C,0.5818
000558,莱茵体育,K,0.7189
000560,昆百大A,F,1.2072
000561,烽火电子,C,1.1046
000564,供销大集,F,0.988
000566,海南海药,C,-0.11
000567,海德股份,K,0.3181
000568,泸州老窖,C,0.9118
000571,新大洲A,C,1.0265
000572,海马汽车,C,1.1516
000573,粤宏远A,K,0.9392
000576,广东甘化,S,1.0056
000582,北部湾港,G,1.1804
000584,友利控股,C,1.4214
000586,汇源通信,I,0.7364
000589,黔轮胎A,C,1.5897
000590,启迪古汉,C,0.742
000591,太阳能,C,0.5124
000592,平潭发展,A,1.2925
000593,大通燃气,F,1.0761
000594,国恒退,F,1.1647
000595,*ST宝实,C,1.0192
000597,东北制药,C,0.7432
