股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
000004,国农科技,C,1.4677
000005,世纪星源,S,1.3942
000006,深振业A,K,1.2158
000008,神州高铁,F,0.8753
000009,中国宝安,S,1.366
000014,沙河股份,K,2.0581
000021,深科技,C,1.3065
000023,深天地A,C,1.2633
000027,深圳能源,D,0.6601
000031,中粮地产,K,1.5853
000032,深桑达A,C,1.2786
000033,新都退,H,1.2938
000034,神州数码,S,1.5835
000036,华联控股,K,1.7884
000040,东旭蓝天,K,1.6099
000043,中航地产,K,0.6712
000046,泛海控股,K,1.0165
000048,康达尔,C,1.2711
000049,德赛电池,C,0.3728
000050,深天马A,C,1.8596
000059,华锦股份,C,1.5357
000060,中金岭南,C,1.2551
000061,农产品,F,1.2522
000062,深圳华强,L,1.7415
000066,中国长城,C,1.1841
000068,华控赛格,C,0.9202
000069,华侨城A,L,0.2431
000070,特发信息,C,1.5482
000078,海王生物,C,1.3738
000088,盐田港,G,0.3939
000089,深圳机场,G,0.5491
000096,广聚能源,F,0.9248
000099,中信海直,G,0.8612
000100,TCL集团,C,1.084
000150,宜华健康,K,1.592
000151,中成股份,F,1.2736
000153,丰原药业,C,1.0945
000155,*ST川化,C,1.0145
000158,常山股份,C,1.558
000159,国际实业,C,1.3932
000301,东方市场,S,1.2042
000401,冀东水泥,C,0.9319
000402,金融街,K,0.5759
000404,华意压缩,C,1.5068
000407,胜利股份,C,1.5378
000408,藏格控股,C,1.4008
000409,山东地矿,C,1.1313
000410,*ST沈机,C,1.5092
000411,英特集团,F,1.1129
000415,渤海金控,L,1.9589
000417,合肥百货,F,0.9658
000419,通程控股,F,1.0564
000421,南京公用,N,1.2444
000422,湖北宜化,C,0.8261
000423,东阿阿胶,C,0.7437
000425,徐工机械,C,0.5977
000426,兴业矿业,B,1.9857
000430,张家界,L,0.1662
000501,鄂武商A,F,0.5087
000502,绿景控股,K,1.9096
000503,海虹控股,S,1.5198
000504,南华生物,R,2.0932
000506,中润资源,K,0.8881
000507,珠海港,S,1.4173
000509,华塑控股,C,0.5332
000510,金路集团,C,1.2739
000511,*ST烯碳,K,1.4309
000514,渝开发,K,1.5385
000516,国际医学,F,0.7835
000517,荣安地产,K,1.933
000518,四环生物,C,2.1409
000519,中兵红箭,C,1.9542
000520,长航凤凰,G,1.2972
000522,白云山A,C,1.1482
000523,广州浪奇,C,1.2398
000524,岭南控股,H,1.655
000525,红太阳,C,0.6329
000526,*ST紫学,S,1.4571
000528,柳工,C,1.1837
000529,广弘控股,C,0.7788
000531,穗恒运A,D,1.6301
000532,华金资本,S,1.3678
000533,万家乐,C,0.9176
000534,万泽股份,K,2.0462
000537,广宇发展,K,0.7873
000538,云南白药,C,0.4323
000540,中天金融,K,1.2651
000543,皖能电力,D,0.9879
000544,中原环保,N,0.6268
000546,金圆股份,K,0.9325
000547,航天发展,C,1.6372
000548,湖南投资,G,1.2209
000551,创元科技,S,1.8948
000552,靖远煤电,B,1.3483
000554,泰山石油,F,0.6681
000555,神州信息,C,1.5449
000558,莱茵体育,K,1.2781
000559,万向钱潮,C,1.486
000560,昆百大A,F,0.7858
000561,烽火电子,C,0.5975
000564,供销大集,F,1.1106
000565,渝三峡A,C,1.9082
000566,海南海药,C,0.7646
000567,海德股份,K,1.1818
000568,泸州老窖,C,0.7401
000571,新大洲A,C,1.1351
000572,海马汽车,C,1.263
000573,粤宏远A,K,1.045
000576,广东甘化,S,1.483
000582,北部湾港,G,0.6659
000584,友利控股,C,1.0009
000586,汇源通信,C,1.7821
000587,金洲慈航,C,1.2943
000589,黔轮胎A,C,0.8598
000590,启迪古汉,C,1.2958
000591,太阳能,F,1.3082
000592,平潭发展,A,2.6503
000593,大通燃气,F,1.5357
000594,国恒退,F,1.3307
000595,*ST宝实,C,1.0724
000597,东北制药,C,1.9081
000598,兴蓉环境,N,1.1763
000599,青岛双星,C,1.1597
000600,建投能源,D,0.0221
000601,韶能股份,D,1.1439
000603,盛达矿业,B,2.2726
000606,神州易桥,C,1.7861
000607,华媒控股,C,1.3885
000608,阳光股份,K,1.0211
000609,绵石投资,K,1.6546
000610,西安旅游,L,1.5616
000611,天首发展,C,1.2456
000612,焦作万方,C,1.128
000615,京汉股份,C,1.7549
000616,海航投资,K,1.0651
000617,中油资本,C,1.4873
000619,海螺型材,C,1.2161
000620,新华联,K,1.5775
000623,吉林敖东,C,1.3921
000626,远大控股,F,1.892
000628,高新发展,K,1.4918
000629,*ST钒钛,C,1.0499
000630,铜陵有色,C,1.3763
000631,顺发恒业,K,1.6703
000632,三木集团,S,1.4082
000633,合金投资,S,1.5101
000635,英力特,C,1.095
000636,风华高科,C,1.4149
000637,茂化实华,C,1.3371
000638,万方发展,K,1.2795
000639,西王食品,C,1.1052
000650,仁和药业,C,0.8203
000651,格力电器,C,0.4926
000652,泰达股份,S,1.4156
000655,金岭矿业,B,1.0456
000656,金科股份,K,0.8667
000659,*ST中富,C,1.8687
000661,长春高新,C,0.8227
000662,天夏智慧,C,1.089
000663,永安林业,A,2.5468
000665,湖北广电,C,1.1825
000667,美好置业,K,0.7854
000668,荣丰控股,K,0.7692
000671,阳光城,K,0.7066
000673,当代东方,C,0.7034
000676,智度股份,C,1.3561
000678,襄阳轴承,C,1.4176
000679,大连友谊,F,1.1775
000680,山推股份,C,1.6672
000682,东方电子,C,1.6795
000683,远兴能源,C,1.5604
000685,中山公用,D,0.7956
000687,华讯方舟,C,1.0538
000690,宝新能源,D,1.3757
000691,ST亚太,K,1.4364
000692,惠天热电,D,1.1739
000695,滨海能源,D,0.7739
000697,炼石有色,B,0.8577
000700,模塑科技,C,0.858
000701,厦门信达,F,1.4749
000702,正虹科技,C,1.1441
000703,恒逸石化,C,1.1589
000705,浙江震元,F,1.4282
000707,双环科技,C,1.4493
000708,大冶特钢,C,0.9823
000709,河钢股份,C,1.0533
000710,*ST天仪,C,1.2986
000711,京蓝科技,K,1.3594
000713,丰乐种业,A,0.6489
000715,中兴商业,F,1.2005
000716,黑芝麻,C,1.0306
000717,韶钢松山,C,1.0867
000718,苏宁环球,K,1.6225
000719,大地传媒,R,0.0225
000720,新能泰山,D,1.1079
000721,西安饮食,H,0.8981
000722,湖南发展,D,0.604
000727,华东科技,C,2.0226
000729,燕京啤酒,C,0.8808
000731,四川美丰,C,1.1415
000732,泰禾集团,K,0.9067
000733,振华科技,C,1.3523
000735,罗牛山,A,1.3027
000736,中房地产,K,1.609
000737,南风化工,C,1.385
000738,航发控制,C,1.114
000739,普洛药业,C,0.4358
000748,长城信息,C,1.3816
000752,西藏发展,C,1.6154
000753,漳州发展,F,0.5862
000755,*ST三维,C,1.4749
000758,中色股份,B,1.1719
000759,中百集团,F,-0.0779
000762,西藏矿业,B,1.1342
000766,通化金马,C,1.1822
000767,漳泽电力,D,1.2088
000768,中航飞机,C,1.2406
000777,中核科技,C,1.6123
000778,新兴铸管,C,0.7701
000779,三毛派神,C,1.6396
000780,*ST平能,B,1.2557
000782,美达股份,C,1.0024
000785,武汉中商,F,0.6368
000786,北新建材,C,1.0164
000788,北大医药,C,0.9251
000789,万年青,C,1.5565
000790,泰合健康,C,1.9762
000791,甘肃电投,C,0.9374
000792,盐湖股份,C,0.9976
000795,英洛华,C,1.2702
000796,凯撒旅游,C,1.1111
000797,中国武夷,K,1.3783
000798,中水渔业,A,1.5134
000799,酒鬼酒,C,1.0362
000800,一汽轿车,C,0.5736
000801,四川九洲,C,1.7123
000802,北京文化,L,0.8501
000803,*ST金宇,K,0.591
000806,银河生物,C,1.0878
000807,云铝股份,C,1.4938
000809,*ST新城,N,0.6833
000810,创维数字,C,0.7956
000811,烟台冰轮,C,0.8794
000812,陕西金叶,C,1.3644
000813,德展健康,C,1.3767
000816,智慧农业,C,0.6341
000818,方大化工,C,1.4155
000819,岳阳兴长,C,1.5758
000821,京山轻机,C,1.6133
000822,山东海化,C,1.441
000823,超声电子,C,1.5791
000825,太钢不锈,C,0.7794
000826,启迪桑德,N,0.9846
000828,东莞控股,G,0.9526
000829,天音控股,F,1.333
000830,鲁西化工,C,0.7543
000833,贵糖股份,C,0.97
000835,长城动漫,C,1.6755
000836,鑫茂科技,C,1.2472
000837,秦川机床,C,1.5657
000838,财信发展,K,1.8243
000839,中信国安,S,0.8904
000848,承德露露,C,1.0204
000850,华茂股份,C,1.1811
000851,高鸿股份,I,1.2018
000852,石化机械,C,1.1161
000856,冀东装备,C,1.1025
000858,五粮液,C,0.633
000859,国风塑业,C,1.1862
000860,顺鑫农业,A,0.6147
000861,海印股份,F,0.8725
000862,银星能源,C,1.1907
000863,三湘印象,K,-0.3595
000868,安凯客车,C,1.6022
000875,吉电股份,D,1.0286
000876,新希望,C,0.4967
000877,天山股份,C,1.7799
000878,云南铜业,C,0.992
