股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
000004,国农科技,C,0.8263
000006,深振业A,K,1.5901
000007,全新好,H,0.432
000008,神州高铁,F,0.6243
000009,中国宝安,S,0.9672
000014,沙河股份,K,1.2789
000021,深科技,C,0.763
000027,深圳能源,D,0.7395
000031,中粮地产,K,0.644
000032,深桑达A,C,0.9625
000033,新都退,H,0.5119
000034,神州数码,S,0.7845
000035,中国天楹,C,-0.0172
000036,华联控股,K,1.0259
000040,东旭蓝天,K,1.1435
000042,中洲控股,K,0.8129
000046,泛海控股,K,1.0874
000048,康达尔,C,-0.5903
000049,德赛电池,C,2.0156
000050,深天马A,C,1.4905
000059,华锦股份,C,1.0814
000060,中金岭南,C,1.5558
000061,农产品,F,0.684
000062,深圳华强,S,1.1173
000066,中国长城,C,0.6499
000069,华侨城A,L,0.6397
000070,特发信息,C,0.9833
000078,海王生物,C,0.9393
000088,盐田港,G,0.372
000089,深圳机场,G,0.5845
000096,广聚能源,F,1.1639
000099,中信海直,G,2.037
000100,TCL集团,C,0.2166
000150,宜华健康,K,0.3693
000153,丰原药业,C,1.0311
000155,*ST川化,C,0.7675
000158,常山股份,C,0.8739
000159,国际实业,C,1.6416
000301,东方市场,S,0.6963
000400,许继电气,C,0.7371
000401,冀东水泥,C,1.2605
000402,金融街,K,0.4414
000404,华意压缩,C,0.4973
000407,胜利股份,C,1.0383
000409,山东地矿,C,0.5135
000410,*ST沈机,C,1.2436
000411,英特集团,F,0.1871
000417,合肥百货,F,0.6161
000419,通程控股,F,0.7423
000420,吉林化纤,C,0.7384
000421,南京公用,N,1.2078
000422,湖北宜化,C,1.8059
000423,东阿阿胶,C,0.3003
000425,徐工机械,C,1.3453
000426,兴业矿业,D,1.3108
000430,张家界,L,1.3409
000501,鄂武商A,F,0.4736
000503,海虹控股,S,1.3691
000504,南华生物,R,-0.0837
000506,中润资源,K,1.1956
000507,珠海港,S,0.7908
000509,华塑控股,C,0.3427
000510,金路集团,C,1.3028
000511,*ST烯碳,K,0.5714
000514,渝开发,K,1.1578
000516,国际医学,F,0.9141
000517,荣安地产,K,0.275
000518,四环生物,C,1.2779
000519,中兵红箭,C,1.2291
000520,长航凤凰,G,0.8626
000523,广州浪奇,C,1.07
000525,红太阳,C,0.6677
000526,*ST紫学,S,0.7213
000527,美的电器,C,1.2716
000528,柳工,C,1.7224
000529,广弘控股,C,0.945
000531,穗恒运A,D,0.6509
000532,华金资本,S,0.9218
000533,万家乐,C,0.7736
000534,万泽股份,K,0.9154
000536,华映科技,C,0.4136
000537,广宇发展,K,1.2538
000538,云南白药,C,0.321
000540,中天金融,S,1.2408
000543,皖能电力,D,0.5901
000544,中原环保,N,1.0687
000545,金浦钛业,C,0.9387
000547,航天发展,C,1.2433
000548,湖南投资,G,1.0289
000551,创元科技,C,0.7527
000554,泰山石油,F,0.8873
000555,神州信息,C,0.4251
000560,昆百大A,F,1.2472
000561,烽火电子,C,0.6964
000564,供销大集,F,1.0634
000565,渝三峡A,C,0.9897
000566,海南海药,C,0.6457
000567,海德股份,K,0.8333
000568,泸州老窖,C,0.6993
000572,海马汽车,C,0.9275
000573,粤宏远A,K,0.9425
000576,广东甘化,S,0.9727
000582,北部湾港,G,1.0767
000584,友利控股,C,1.2014
000586,汇源通信,I,0.3625
000589,黔轮胎A,C,1.1631
000590,启迪古汉,C,1.1699
000591,太阳能,F,0.4867
000592,平潭发展,A,1.1327
000593,大通燃气,F,1.078
000594,国恒退,F,0.4836
000595,*ST宝实,C,0.5665
000597,东北制药,C,0.6659
000598,兴蓉环境,N,0.6826
000599,青岛双星,C,0.5704
000600,建投能源,D,0.8193
000601,韶能股份,D,1.0874
000602,金马集团,I,1.251
000606,神州易桥,C,1.0276
000607,华媒控股,C,1.3319
000608,阳光股份,K,0.9895
000610,西安旅游,L,1.4897
000612,焦作万方,C,1.4134
000615,京汉股份,C,0.6992
000616,海航投资,K,0.8497
000617,中油资本,C,1.286
000619,海螺型材,C,0.9561
000623,吉林敖东,C,1.2356
000626,远大控股,F,0.0637
000629,*ST钒钛,C,0.2689
000630,铜陵有色,C,1.5485
000631,顺发恒业,K,0.6457
000632,三木集团,S,0.5245
000633,合金投资,S,0.4229
000635,英力特,C,1.1382
000636,风华高科,C,1.3489
000637,茂化实华,C,0.7329
000639,西王食品,C,0.927
000650,仁和药业,C,0.341
000651,格力电器,C,1.3431
000655,金岭矿业,B,1.6617
000659,*ST中富,C,0.5947
000661,长春高新,C,1.1794
000663,永安林业,A,1.0538
000665,湖北广电,C,0.8218
000667,美好置业,K,0.6992
000668,荣丰控股,K,0.881
000669,金鸿能源,C,2.039
000671,阳光城,K,1.3762
000673,当代东方,C,0.8084
000676,智度股份,C,0.7632
000679,大连友谊,F,1.0938
000680,山推股份,C,1.1518
000682,东方电子,C,0.7553
000683,远兴能源,C,1.614
000685,中山公用,D,1.0028
000687,华讯方舟,C,0.7493
000690,宝新能源,D,0.8847
000691,ST亚太,S,1.4902
000692,惠天热电,D,0.7399
000697,炼石有色,C,0.8205
000698,沈阳化工,C,1.0351
000700,模塑科技,C,0.7539
000701,厦门信达,S,1.0966
000702,正虹科技,C,0.2988
000703,恒逸石化,C,1.5379
000705,浙江震元,F,0.7215
000707,双环科技,C,1.4197
000708,大冶特钢,C,0.9764
000709,河钢股份,C,0.292
000710,*ST天仪,C,1.2794
000711,京蓝科技,K,1.1751
000713,丰乐种业,A,1.1483
000715,中兴商业,F,1.0942
000717,韶钢松山,C,0.7912
000718,苏宁环球,K,0.6261
000720,新能泰山,D,0.5611
000721,西安饮食,H,1.0741
000723,美锦能源,F,0.6547
000727,华东科技,C,1.1303
000729,燕京啤酒,C,-0.0004
000731,四川美丰,C,1.0212
000732,泰禾集团,C,-0.193
000733,振华科技,C,1.1345
000735,罗牛山,A,0.6103
000736,中房地产,K,0.9673
000737,南风化工,C,1.388
000738,航发控制,C,1.2385
000739,普洛药业,C,0.8099
000748,长城信息,C,0.9192
000751,锌业股份,C,1.2867
000752,西藏发展,C,0.1175
000753,漳州发展,F,0.4926
000755,*ST三维,C,1.6568
000758,中色股份,B,1.9525
000760,斯太尔,C,0.9371
000762,西藏矿业,B,1.4286
000766,通化金马,C,0.8537
000768,中航飞机,C,1.1606
000777,中核科技,C,1.5516
000778,新兴铸管,C,0.7358
000779,三毛派神,C,1.153
000780,*ST平能,B,1.3947
000782,美达股份,C,0.7333
000786,北新建材,C,0.8768
000788,北大医药,C,1.5451
000789,万年青,C,0.9078
000790,泰合健康,C,1.0855
000792,盐湖股份,C,1.0891
000795,英洛华,C,2.5736
000796,凯撒旅游,C,0.5049
000797,中国武夷,K,0.6646
000798,中水渔业,A,1.0832
000799,酒鬼酒,C,1.4029
000800,一汽轿车,C,1.0132
000801,四川九洲,C,0.6671
000803,*ST金宇,C,0.6193
000806,银河生物,C,0.7414
000807,云铝股份,C,1.6059
000811,烟台冰轮,C,0.6985
000812,陕西金叶,C,1.2035
000813,德展健康,C,1.4258
000815,美利云,C,0.4909
000816,智慧农业,C,0.6876
000818,方大化工,C,0.0652
000819,岳阳兴长,C,1.3592
000821,京山轻机,C,1.0125
000822,山东海化,C,0.799
000823,超声电子,C,1.8972
000825,太钢不锈,C,0.7534
000826,启迪桑德,N,0.5245
000828,东莞控股,G,0.8038
000829,天音控股,F,0.9707
000830,鲁西化工,C,1.2691
000833,贵糖股份,C,1.6292
000835,长城动漫,C,0.918
000836,鑫茂科技,C,1.1912
000837,秦川机床,C,1.0197
000838,财信发展,K,0.3399
000839,中信国安,S,1.1447
000848,承德露露,C,0.675
000850,华茂股份,C,0.3909
000851,高鸿股份,I,1.0477
000852,石化机械,C,0.6376
000856,冀东装备,C,1.0008
000858,五粮液,C,0.658
000859,国风塑业,C,0.9548
000860,顺鑫农业,A,0.8539
000861,海印股份,F,1.0704
000862,银星能源,C,1.0806
000868,安凯客车,C,1.1605
000875,吉电股份,D,-0.1131
000877,天山股份,C,1.0479
000878,云南铜业,C,1.1065
000880,潍柴重机,C,-0.1987
000881,中广核技,S,0.9276
000882,华联股份,F,1.0709
000883,湖北能源,D,0.7741
000885,同力水泥,C,0.9071
000886,海南高速,G,0.6011
000888,峨眉山A,L,0.7443
000889,茂业通信,F,0.8231
000892,欢瑞世纪,I,0.3204
000893,东凌国际,C,1.1173
000895,双汇发展,C,-0.0299
000897,津滨发展,K,1.8019
000899,赣能股份,D,0.9592
000900,现代投资,G,1.0574
000901,航天科技,C,1.442
000903,云内动力,C,1.3378
000905,厦门港务,G,0.3754
000906,浙商中拓,F,1.3496
000908,景峰医药,C,0.5182
000909,数源科技,C,0.5791
000910,大亚圣象,C,1.16
000911,南宁糖业,C,1.8723
000913,钱江摩托,C,1.2253
000915,山大华特,C,1.254
000916,华北高速,G,0.6638
000918,嘉凯城,K,1.0805
000919,金陵药业,C,0.7773
000920,南方汇通,C,0.4916
000922,*ST佳电,C,0.4085
000923,河北宣工,C,0.7316
000925,众合科技,C,0.7378
000926,福星股份,K,1.2687
000927,一汽夏利,C,1.1093
000928,中钢国际,C,2.6677
000929,兰州黄河,C,1.1043
000930,中粮生化,C,0.8331
000931,中关村,N,1.4236
000933,神火股份,B,1.354
000937,冀中能源,B,1.1116
000938,紫光股份,I,1.3066
000939,凯迪生态,D,0.542
000948,南天信息,I,1.0912
000949,新乡化纤,C,0.5631
000951,中国重汽,C,2.0184
000952,广济药业,C,1.0186
000955,欣龙控股,C,0.656
000957,中通客车,C,0.8353
000960,锡业股份,C,1.4866
000962,东方钽业,C,1.6624
000963,华东医药,F,0.1332
000965,天保基建,K,0.8806
000966,长源电力,D,0.753
000967,盈峰环境,C,0.6803
000968,蓝焰控股,B,1.0092
000969,安泰科技,C,1.405
000970,中科三环,C,2.3252
000971,高升控股,C,0.594
000972,*ST中基,C,1.3527
000973,佛塑科技,C,1.3306
000976,春晖股份,C,0.3106
000977,浪潮信息,C,1.2182
000978,桂林旅游,L,1.2787
000979,中弘股份,K,0.9724
000980,众泰汽车,C,0.9208
000982,*ST中绒,C,1.386
000983,西山煤电,B,1.1948
000985,大庆华科,C,0.9183
000988,华工科技,C,1.0494
000989,九芝堂,C,0.4679
000990,诚志股份,C,0.9247
000993,闽东电力,D,0.9743
000996,中国中期,S,1.0923
000997,新大陆,I,1.1814
000998,隆平高科,A,1.2127
000999,华润三九,C,0.4994
001696,宗申动力,C,0.7064
001896,豫能控股,D,0.1057
002001,新和成,C,1.4469
002002,鸿达兴业,C,0.615
002003,伟星股份,C,1.2075
002005,德豪润达,C,0.6395
002006,精功科技,C,1.3891
002007,华兰生物,C,0.8914
002008,大族激光,C,1.3875
002009,天奇股份,C,0.9196
002010,传化智联,C,0.4053
002011,盾安环境,C,1.3965
002012,凯恩股份,C,1.101
002014,永新股份,C,0.725
002015,霞客环保,C,1.3488
002016,世荣兆业,K,0.2866
002017,东信和平,C,1.2592
002018,华信国际,C,1.3541
002019,亿帆医药,C,0.7619
002020,京新药业,C,0.8212
002021,中捷资源,C,0.7737
002022,科华生物,C,0.6741
002023,海特高新,G,1.2653
002024,苏宁云商,F,0.8281
002025,航天电器,C,1.1213
002026,山东威达,C,0.787
002027,分众传媒,C,0.8568
002028,思源电气,C,0.8146
002029,七匹狼,C,0.5614
002030,达安基因,C,0.6986
002031,巨轮智能,C,1.3992
002032,苏泊尔,C,0.5273
002033,丽江旅游,L,1.2703
002034,美欣达,C,0.4265
002035,华帝股份,C,1.1531
002036,联创电子,C,0.8109
002037,久联发展,C,0.9834
002038,双鹭药业,C,0.8658
002039,黔源电力,D,0.5328
002040,南京港,G,0.782
002041,登海种业,A,1.2695
002042,华孚色纺,C,1.2261
002043,兔宝宝,C,0.5201
002044,美年健康,C,0.9614
002045,国光电器,C,0.5171
002046,轴研科技,C,0.5637
002047,宝鹰股份,C,0.7018
002048,宁波华翔,C,1.1496
002049,紫光国芯,C,0.6262
002050,三花智控,C,0.5321
002053,云南能投,C,1.1042
002054,德美化工,C,1.102
002056,横店东磁,C,3.0166
002057,中钢天源,C,2.7688
002058,威尔泰,C,1.3354
002059,云南旅游,L,1.0517
002061,江山化工,C,0.7378
002063,远光软件,I,0.8241
002064,华峰氨纶,C,1.4181
002065,东华软件,I,0.6529
002066,瑞泰科技,C,0.8214
002067,景兴纸业,C,0.5439
002068,黑猫股份,C,0.6725
002069,獐子岛,A,0.871
002070,*ST众和,C,0.8218
002071,长城影视,C,1.5402
002072,凯瑞德,C,1.0831
002073,软控股份,I,0.4639
