股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
000004,国农科技,C,0.994
000006,深振业A,K,1.662
000007,全新好,H,0.2849
000008,神州高铁,F,0.7351
000009,中国宝安,S,1.1377
000014,沙河股份,K,1.1567
000021,深科技,C,0.2671
000027,深圳能源,D,0.9035
000031,中粮地产,K,0.7645
000032,深桑达A,C,0.846
000033,新都退,H,0.6495
000035,中国天楹,C,0.4362
000036,华联控股,K,1.2425
000042,中洲控股,K,1.3295
000043,中航地产,K,1.1005
000046,泛海控股,K,1.4027
000048,康达尔,C,0.5389
000049,德赛电池,C,0.8368
000050,深天马A,C,1.1962
000060,中金岭南,C,1.3781
000061,农产品,F,0.3962
000062,深圳华强,S,0.9706
000066,中国长城,C,0.5591
000069,华侨城A,L,0.8219
000070,特发信息,C,1.1022
000078,海王生物,C,0.8643
000088,盐田港,G,0.6298
000089,深圳机场,G,0.7962
000096,广聚能源,F,1.3148
000099,中信海直,G,1.9531
000100,TCL集团,C,0.7473
000150,宜华健康,K,0.5312
000151,中成股份,F,1.2057
000153,丰原药业,C,0.9661
000155,*ST川化,C,1.103
000158,常山股份,C,0.929
000159,国际实业,C,1.3675
000301,东方市场,S,0.7905
000400,许继电气,C,0.6941
000401,冀东水泥,C,1.099
000402,金融街,K,0.6394
000404,华意压缩,C,0.144
000407,胜利股份,C,1.1515
000409,山东地矿,C,0.5905
000410,*ST沈机,C,1.061
000411,英特集团,F,0.4833
000417,合肥百货,F,0.5745
000419,通程控股,F,0.5114
000420,吉林化纤,C,0.7721
000421,南京公用,N,1.3442
000423,东阿阿胶,C,0.0315
000425,徐工机械,C,1.159
000426,兴业矿业,D,1.1836
000430,张家界,L,1.2226
000501,鄂武商A,F,0.4152
000503,海虹控股,S,1.25
000504,南华生物,R,0.0059
000506,中润资源,K,1.3819
000507,珠海港,S,0.7278
000509,华塑控股,C,0.6774
000510,金路集团,C,1.1991
000511,*ST烯碳,K,0.7802
000514,渝开发,K,1.2351
000516,国际医学,F,0.6467
000517,荣安地产,K,0.9217
000518,四环生物,C,0.6509
000519,中兵红箭,C,1.2881
000520,长航凤凰,G,1.0158
000523,广州浪奇,C,1.133
000525,红太阳,C,0.7474
000526,*ST紫学,S,0.8289
000527,美的电器,C,1.3368
000528,柳工,C,1.4715
000529,广弘控股,C,1.0758
000531,穗恒运A,D,0.7635
000533,万家乐,C,0.4363
000534,万泽股份,K,1.0046
000536,华映科技,C,0.3108
000537,广宇发展,K,1.154
000538,云南白药,C,0.1288
000540,中天金融,S,1.0509
000543,皖能电力,D,0.9173
000544,中原环保,C,0.9694
000547,航天发展,C,0.949
000548,湖南投资,G,1.3279
000551,创元科技,C,0.4274
000552,靖远煤电,B,1.7441
000554,泰山石油,F,0.9783
000555,神州信息,C,0.498
000559,万向钱潮,C,0.8538
000560,昆百大A,F,1.3766
000561,烽火电子,C,1.0138
000564,供销大集,F,1.0005
000566,海南海药,C,0.49
000567,海德股份,K,0.6485
000568,泸州老窖,C,0.7885
000572,海马汽车,C,1.0378
000573,粤宏远A,K,1.0008
000576,广东甘化,S,1.0689
000582,北部湾港,G,1.1514
000584,友利控股,C,1.3445
000586,汇源通信,I,0.5746
000589,黔轮胎A,C,1.418
000590,启迪古汉,C,1.2234
000591,太阳能,C,0.5162
000592,平潭发展,A,1.3613
000593,大通燃气,F,1.1462
000594,国恒退,F,0.7868
000595,*ST宝实,C,0.7528
000597,东北制药,C,0.8919
000598,兴蓉环境,N,0.2418
000599,青岛双星,C,1.0075
000600,建投能源,D,1.066
000601,韶能股份,D,1.3354
000602,金马集团,I,1.3068
000606,神州易桥,C,1.406
000607,华媒控股,C,1.4383
000608,阳光股份,K,0.9516
000610,西安旅游,L,1.3603
000611,天首发展,C,1.0936
000612,焦作万方,C,1.3979
000615,京汉股份,C,1.0895
000616,海航投资,K,1.0362
000617,中油资本,C,1.2901
000619,海螺型材,C,1.0246
000623,吉林敖东,C,1.6286
000626,远大控股,F,0.9355
000630,铜陵有色,C,1.4665
000631,顺发恒业,K,0.7963
000632,三木集团,S,0.5327
000633,合金投资,S,0.9429
000635,英力特,C,1.4584
000636,风华高科,C,0.8967
000637,茂化实华,C,1.1133
000638,万方发展,K,0.8251
000639,西王食品,C,0.7764
000650,仁和药业,C,0.5143
000651,格力电器,C,1.5561
000655,金岭矿业,B,1.7253
000659,*ST中富,C,0.8745
000661,长春高新,C,0.9952
000662,天夏智慧,C,1.0265
000663,永安林业,A,0.944
000665,湖北广电,C,0.5391
000667,美好置业,K,0.8933
000668,荣丰控股,K,0.9845
000669,金鸿能源,C,1.3401
000671,阳光城,K,1.2699
000673,当代东方,C,0.8409
000676,智度股份,C,1.0266
000677,恒天海龙,C,1.27
000678,襄阳轴承,C,0.877
000679,大连友谊,F,1.2162
000680,山推股份,C,0.9497
000682,东方电子,C,0.9582
000683,远兴能源,C,1.8228
000685,中山公用,D,1.3274
000687,华讯方舟,C,1.0574
000690,宝新能源,D,1.1097
000691,ST亚太,S,0.6563
000692,惠天热电,D,0.988
000695,滨海能源,D,1.3216
000697,炼石有色,C,1.1445
000698,沈阳化工,C,0.8976
000700,模塑科技,C,0.9046
000701,厦门信达,S,0.9929
000702,正虹科技,C,0.9428
000703,恒逸石化,C,1.7083
000705,浙江震元,F,1.0514
000707,双环科技,C,1.5908
000708,大冶特钢,C,0.9942
000709,河钢股份,C,0.7327
000710,*ST天仪,C,1.5473
000711,京蓝科技,K,1.2124
000713,丰乐种业,A,1.0026
000715,中兴商业,F,0.8472
000717,韶钢松山,C,1.0118
000718,苏宁环球,K,0.7798
000720,新能泰山,D,0.7081
000721,西安饮食,H,1.1126
000723,美锦能源,F,0.5437
000727,华东科技,C,1.3776
000729,燕京啤酒,C,0.0338
000731,四川美丰,C,1.2299
000732,泰禾集团,C,-0.6883
000733,振华科技,C,1.088
000735,罗牛山,A,0.7162
000736,中房地产,K,0.9205
000737,南风化工,C,1.33
000738,航发控制,C,0.9373
000739,普洛药业,C,0.8976
000748,长城信息,C,1.0882
000753,漳州发展,F,0.4286
000755,*ST三维,C,1.6326
000758,中色股份,B,2.0809
000760,斯太尔,C,1.1012
000762,西藏矿业,B,0.8757
000766,通化金马,C,1.0593
000777,中核科技,C,1.5648
000778,新兴铸管,C,0.9901
000779,三毛派神,C,0.8754
000780,*ST平能,B,1.669
000782,美达股份,C,1.1912
000786,北新建材,C,0.7737
000788,北大医药,C,1.4849
000789,万年青,C,0.807
000790,泰合健康,C,0.6743
000791,甘肃电投,C,1.4004
000792,盐湖股份,C,1.2302
000795,英洛华,C,2.444
000796,凯撒旅游,C,0.7047
000797,中国武夷,K,0.6758
000798,中水渔业,A,1.1751
000799,酒鬼酒,C,1.3602
000800,一汽轿车,C,0.9469
000801,四川九洲,C,0.8936
000802,北京文化,L,1.1824
000803,*ST金宇,C,0.8461
000806,银河生物,C,0.9533
000807,云铝股份,C,1.6347
000811,烟台冰轮,C,0.2798
000812,陕西金叶,C,1.4498
000813,德展健康,C,0.318
000815,美利云,C,0.5632
000816,智慧农业,C,1.0316
000818,方大化工,C,0.3467
000819,岳阳兴长,C,1.0331
000821,京山轻机,C,1.0185
000822,山东海化,C,1.1532
000823,超声电子,C,1.6382
000825,太钢不锈,C,0.9509
000826,启迪桑德,N,0.1724
000828,东莞控股,G,0.8634
000829,天音控股,F,0.5546
000830,鲁西化工,C,1.4886
000833,贵糖股份,C,1.4759
000835,长城动漫,C,1.1803
000836,鑫茂科技,K,1.2112
000837,秦川机床,C,0.9882
000838,财信发展,K,0.386
000839,中信国安,S,1.1196
000848,承德露露,C,0.3755
000850,华茂股份,C,0.7037
000851,高鸿股份,C,1.3003
000852,石化机械,C,0.8674
000856,冀东装备,C,0.9164
000858,五粮液,C,0.7535
000859,国风塑业,C,1.2348
000860,顺鑫农业,A,0.8107
000861,海印股份,F,1.2012
000862,银星能源,C,1.1817
000868,安凯客车,C,1.4196
000875,吉电股份,D,0.1475
