股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
000723,美锦能源,C,1.4076
000729,燕京啤酒,C,0.6553
000731,四川美丰,C,1.2356
000732,泰禾集团,K,0.7507
000733,振华科技,C,1.0922
000736,中房地产,K,0.9031
000737,南风化工,C,1.3083
000738,航发控制,C,1.3921
000739,普洛药业,C,1.3935
000748,长城信息,C,1.3403
000752,西藏发展,C,1.1016
000753,漳州发展,F,1.1005
000755,*ST三维,C,1.1848
000757,浩物股份,C,0.5811
000758,中色股份,B,1.4801
000759,中百集团,F,0.9047
000760,斯太尔,C,0.3962
000762,西藏矿业,B,1.1552
000766,通化金马,C,0.6055
000767,漳泽电力,D,0.5436
000768,中航飞机,C,1.4428
000777,中核科技,C,1.1611
000778,新兴铸管,C,0.8152
000779,三毛派神,C,1.294
000780,*ST平能,B,1.1179
000785,武汉中商,F,1.0285
000786,北新建材,C,0.904
000788,北大医药,C,1.6018
000789,万年青,C,1.1197
000790,泰合健康,C,0.8052
000791,甘肃电投,D,1.0524
000792,盐湖股份,C,0.9661
000793,华闻传媒,R,0.8518
000795,英洛华,C,1.1494
000797,中国武夷,K,0.4507
000798,中水渔业,A,0.6035
000799,酒鬼酒,C,1.4564
000800,一汽轿车,C,1.3487
000801,四川九洲,C,0.4495
000802,北京文化,N,1.0986
000803,*ST金宇,C,1.0347
000806,银河生物,C,0.7059
000807,云铝股份,C,1.0604
000809,*ST新城,K,1.1207
000810,创维数字,C,1.0829
000811,烟台冰轮,C,1.404
000812,陕西金叶,C,0.7035
000813,德展健康,C,0.3988
000815,美利云,C,0.3195
000816,智慧农业,C,1.0774
000818,方大化工,C,0.971
000819,岳阳兴长,C,0.9863
000820,神雾节能,C,1.2502
000821,京山轻机,C,0.7547
000822,山东海化,C,0.821
000823,超声电子,C,1.5175
000825,太钢不锈,C,0.7119
000826,启迪桑德,N,1.1877
000828,东莞控股,G,0.8502
000829,天音控股,F,0.7513
000830,鲁西化工,C,1.2345
000831,五矿稀土,C,1.8211
000833,贵糖股份,C,1.091
000835,长城动漫,C,0.9393
000836,鑫茂科技,C,1.2775
000837,秦川机床,C,1.2788
000838,财信发展,K,0.8328
000839,中信国安,I,0.6834
000848,承德露露,C,0.7114
000850,华茂股份,C,1.1802
000851,高鸿股份,F,0.9696
000852,石化机械,C,1.3626
000856,冀东装备,C,1.1639
000858,五粮液,C,0.6598
000859,国风塑业,C,0.9298
000860,顺鑫农业,C,1.7012
000861,海印股份,K,1.2061
000862,银星能源,C,1.4429
000863,三湘印象,K,0.8654
000868,安凯客车,C,1.1879
000875,吉电股份,D,0.7358
000876,新希望,C,1.3503
000877,天山股份,C,1.4311
000878,云南铜业,C,1.0142
000880,潍柴重机,C,1.1229
000881,中广核技,S,0.6667
000882,华联股份,K,0.8651
000883,湖北能源,D,1.0021
000886,海南高速,K,0.8581
000887,中鼎股份,C,1.2844
000888,峨眉山A,N,0.912
000889,茂业通信,F,1.2746
000890,法尔胜,C,0.887
000892,欢瑞世纪,I,0.6157
000893,东凌国际,C,0.9173
000895,双汇发展,C,0.5294
000897,津滨发展,K,0.9782
000899,赣能股份,D,0.3411
000900,现代投资,G,0.8095
000901,航天科技,C,1.8206
000902,新洋丰,F,0.9024
000905,厦门港务,G,1.0384
000906,浙商中拓,F,1.5312
000908,景峰医药,C,0.6766
000909,数源科技,S,1.2153
000910,大亚圣象,C,0.6407
000911,南宁糖业,C,0.9589
000912,泸天化,C,1.1752
000913,钱江摩托,C,0.6492
000915,山大华特,C,1.2598
000916,华北高速,G,0.5779
000917,电广传媒,I,1.3479
000918,嘉凯城,K,0.834
000919,金陵药业,C,1.101
000920,南方汇通,C,1.4456
000922,*ST佳电,C,0.9102
000923,河北宣工,C,0.9402
000925,众合科技,C,1.4071
000926,福星股份,K,0.8325
000927,一汽夏利,C,1.8684
000928,中钢国际,C,0.9142
000929,兰州黄河,C,1.06
000930,中粮生化,C,0.7837
000932,*ST华菱,C,0.7329
000933,神火股份,C,1.377
000935,四川双马,C,0.765
000936,华西股份,C,0.795
000937,冀中能源,B,1.5066
000938,紫光股份,C,1.3593
000939,凯迪生态,B,0.9191
000948,南天信息,I,0.9595
000949,新乡化纤,C,0.7285
000950,*ST建峰,C,0.8902
000951,中国重汽,C,1.4941
000952,广济药业,C,0.2739
000953,*ST河化,C,1.2008
000955,欣龙控股,C,0.5804
000957,中通客车,C,1.3736
000958,东方能源,D,0.6359
000959,首钢股份,C,0.8796
000960,锡业股份,C,1.1855
000962,东方钽业,C,1.4046
000963,华东医药,F,0.4733
000965,天保基建,K,0.6967
000966,长源电力,D,1.0413
000967,盈峰环境,C,0.5995
000968,蓝焰控股,C,1.3344
000969,安泰科技,C,1.4496
000970,中科三环,C,1.2779
000971,高升控股,C,0.401
000972,*ST中基,C,0.8219
000973,佛塑科技,C,1.2372
000975,银泰资源,B,1.0548
000976,春晖股份,C,1.0846
000977,浪潮信息,C,1.7343
000978,桂林旅游,N,0.682
000979,中弘股份,K,1.0747
000980,众泰汽车,C,0.7445
000981,银亿股份,K,0.8756
000982,*ST中绒,C,1.027
000983,西山煤电,B,1.1089
000985,大庆华科,C,0.7795
000987,越秀金控,F,1.1179
000988,华工科技,C,1.657
000989,九芝堂,C,1.3824
000990,诚志股份,C,0.5908
000993,闽东电力,D,0.9731
000995,皇台酒业,C,1.2086
000996,中国中期,F,1.735
000997,新大陆,I,0.9379
000998,隆平高科,A,0.6912
000999,华润三九,C,0.7844
001896,豫能控股,D,-0.2632
002001,新和成,C,0.8535
002002,鸿达兴业,C,0.5432
002003,伟星股份,C,0.8747
002005,德豪润达,C,1.1504
002006,精功科技,C,1.6059
002007,华兰生物,C,0.9303
002008,大族激光,C,1.0651
002009,天奇股份,C,1.2374
002010,传化智联,C,0.6604
002011,盾安环境,C,1.3744
002012,凯恩股份,C,1.2245
002013,中航机电,C,1.6851
002014,永新股份,C,1.1251
002015,霞客环保,C,0.8701
002016,世荣兆业,K,1.3796
002017,东信和平,C,1.4724
002018,华信国际,C,1.2621
002019,亿帆医药,C,1.2157
002020,京新药业,C,1.1909
002023,海特高新,C,1.0801
002024,苏宁云商,F,1.4652
002025,航天电器,C,1.5853
002026,山东威达,C,1.0072
002027,分众传媒,C,1.4612
002028,思源电气,C,0.7597
002029,七匹狼,C,1.6957
002030,达安基因,C,1.1289
002031,巨轮智能,C,0.6789
002032,苏泊尔,C,1.1679
002033,丽江旅游,N,1.1848
002034,美欣达,C,1.5171
002035,华帝股份,C,0.885
002036,联创电子,C,1.7804
002037,久联发展,C,1.3005
002038,双鹭药业,C,0.7096
002039,黔源电力,D,0.9601
002040,南京港,G,0.9149
002041,登海种业,A,0.6879
002042,华孚色纺,C,0.5921
002043,兔宝宝,C,1.0885
002044,美年健康,C,1.8562
002045,国光电器,C,1.0996
002046,轴研科技,C,0.9187
002047,宝鹰股份,C,-0.0046
002048,宁波华翔,C,0.4777
002049,紫光国芯,C,0.9954
002050,三花智控,C,0.8716
002052,同洲电子,C,1.472
002053,云南能投,C,0.9182
002054,德美化工,C,1.0655
002055,得润电子,C,1.5839
002056,横店东磁,C,1.5309
002057,中钢天源,C,1.519
002058,威尔泰,C,1.1704
002059,云南旅游,N,0.8343
002061,江山化工,C,1.0954
002063,远光软件,I,0.9566
002064,华峰氨纶,C,0.6383
002066,瑞泰科技,C,1.3111
002067,景兴纸业,C,1.1627
002068,黑猫股份,C,1.193
002069,獐子岛,A,1.1239
002070,*ST众和,C,1.16
002071,长城影视,C,2.0925
002072,凯瑞德,C,0.7027
002073,软控股份,C,1.6962
002074,国轩高科,C,1.1643
002075,沙钢股份,C,0.9944
002076,雪莱特,C,1.2383
002077,大港股份,K,1.1024
002078,太阳纸业,C,1.2597
002079,苏州固锝,C,1.5541
002080,中材科技,C,1.6382
002082,栋梁新材,C,1.0582
002083,孚日股份,C,0.4489
002084,海鸥卫浴,C,0.9935
002085,万丰奥威,C,1.1897
002086,东方海洋,A,0.9686
002087,新野纺织,C,0.7656
002088,鲁阳节能,C,1.1555
002089,新海宜,C,1.8717
002090,金智科技,C,0.7933
002091,江苏国泰,F,1.1458
002092,中泰化学,C,1.1794
002093,国脉科技,I,1.0988
002094,青岛金王,C,0.9374
002095,生意宝,I,1.4384
002096,南岭民爆,C,1.5222
002097,山河智能,C,1.218
002098,浔兴股份,C,1.0381
002100,天康生物,C,1.2958
002101,广东鸿图,C,0.9353
002102,冠福股份,C,0.6641
002103,广博股份,C,0.4948
002104,恒宝股份,C,0.9024
002105,信隆健康,C,0.8966
