股票代码_StkCd,最新股票名称_LStkNm,证监会行业门类代码_CsrcICCd1,风险因子_流通市值加权_持有期收益_Beta_TMV_H
000004,国农科技,C,1.4443
000005,世纪星源,K,0.0643
000006,深振业A,K,0.3796
000010,美丽生态,C,-1.2845
000014,沙河股份,K,0.9334
000021,深科技,C,1.8767
000027,深圳能源,D,-0.0293
000031,中粮地产,K,0.4612
000034,神州数码,S,0.1259
000035,中国天楹,C,-1.1876
000036,华联控股,K,0.9832
000038,深大通,K,2.0578
000040,东旭蓝天,K,0.3868
000042,中洲控股,K,0.1437
000043,中航地产,K,0.8661
000046,泛海控股,K,-0.6658
000048,康达尔,C,0.0664
000049,德赛电池,C,0.2826
000050,深天马A,C,2.2168
000059,华锦股份,C,0.5887
000060,中金岭南,C,0.9512
000061,农产品,L,-1.1297
000062,深圳华强,L,1.8459
000066,中国长城,C,1.9585
000068,华控赛格,C,0.6661
000069,华侨城A,N,0.0221
000078,海王生物,F,0.672
000088,盐田港,G,1.1643
000089,深圳机场,G,0.7031
000096,广聚能源,F,1.446
000099,中信海直,G,2.334
000100,TCL集团,C,-0.0842
000151,中成股份,F,0.418
000153,丰原药业,C,1.2183
000155,*ST川化,C,1.2313
000156,华数传媒,R,1.8099
000301,东方市场,D,0.3016
000400,许继电气,C,1.0927
000401,冀东水泥,C,-0.5118
000402,金融街,K,-0.5609
000403,ST生化,C,0.1304
000404,华意压缩,C,0.6279
000407,胜利股份,C,1.0257
000409,山东地矿,B,1.2329
000410,*ST沈机,C,1.1393
000411,英特集团,F,0.9937
000415,渤海金控,L,1.332
000417,合肥百货,F,0.6494
000419,通程控股,F,2.1792
000420,吉林化纤,C,0.0317
000421,南京公用,S,0.9357
000422,湖北宜化,C,0.8986
000423,东阿阿胶,C,0.3506
000425,徐工机械,C,0.6165
000426,兴业矿业,B,0.9586
000428,华天酒店,H,1.8226
000430,张家界,N,0.5164
000501,鄂武商A,F,-0.3313
000503,海虹控股,I,2.6737
